"","target","p","padj"
"CA5A","CA5A",0.352,1
"CA5B","CA5B",0.352,1
"CA6","CA6",0.352,1
"CA7","CA7",0.352,1
"CA9","CA9",0.352,1
"APAF1","APAF1",0.36,1
"CAMKK2","CAMKK2",0.37,1
"CSNK1G1","CSNK1G1",0.37,1
"CSNK1G2","CSNK1G2",0.37,1
"SGK2","SGK2",0.37,1
"SLC22A11","SLC22A11",0.37,1
"SLC22A6","SLC22A6",0.37,1
"SLC22A8","SLC22A8",0.37,1
"ALOX5","ALOX5",0.375,1
"PSMB1","PSMB1",0.379,1
"PSMB2","PSMB2",0.379,1
"PSMB5","PSMB5",0.379,1
"MMP2","MMP2",0.391,1
"HTR5A","HTR5A",0.395,1
"MAPK12","MAPK12",0.396,1
"ABCC4","ABCC4",0.402,1
"PDE10A","PDE10A",0.402,1
"PDE11A","PDE11A",0.402,1
"PDE4A","PDE4A",0.402,1
"PDE4B","PDE4B",0.402,1
"PDE4C","PDE4C",0.402,1
"PDE4D","PDE4D",0.402,1
"PDE6A","PDE6A",0.402,1
"PDE6B","PDE6B",0.402,1
"PDE6C","PDE6C",0.402,1
"PDE6D","PDE6D",0.402,1
"PDE6G","PDE6G",0.402,1
"PDE6H","PDE6H",0.402,1
"PDE7A","PDE7A",0.402,1
"GRK5","GRK5",0.403,1
"PDE1A","PDE1A",0.404,1
"PDE1B","PDE1B",0.404,1
"PDE1C","PDE1C",0.404,1
"PDE3A","PDE3A",0.404,1
"PDE2A","PDE2A",0.406,1
"SLC29A1","SLC29A1",0.406,1
"ERBB4","ERBB4",0.409,1
"MAPK13","MAPK13",0.409,1
"STK3","STK3",0.41,1
"AXL","AXL",0.412,1
"MET","MET",0.417,1
"EIF2AK2","EIF2AK2",0.418,1
"AKR1B1","AKR1B1",0.419,1
"AKT1","AKT1",0.419,1
"ALOX12","ALOX12",0.419,1
"ALOX15","ALOX15",0.419,1
"AMY1A","AMY1A",0.419,1
"AMY1B","AMY1B",0.419,1
"AMY1C","AMY1C",0.419,1
"AMY2A","AMY2A",0.419,1
"AVPR2","AVPR2",0.419,1
"CXCR1","CXCR1",0.419,1
"CYP19A1","CYP19A1",0.419,1
"CYP1A1","CYP1A1",0.419,1
"CYP1B1","CYP1B1",0.419,1
"GLO1","GLO1",0.419,1
"GPR35","GPR35",0.419,1
"HSD17B2","HSD17B2",0.419,1
"NOX4","NOX4",0.419,1
"PKN1","PKN1",0.419,1
"PLA2G1B","PLA2G1B",0.419,1
"PLAU","PLAU",0.419,1
"PTPN1","PTPN1",0.419,1
"XDH","XDH",0.419,1
"ADRB2","ADRB2",0.42,1
"FRK","FRK",0.42,1
"NR3C2","NR3C2",0.42,1
"IRAK1","IRAK1",0.421,1
"PRKACA","PRKACA",0.421,1
"SRPK1","SRPK1",0.421,1
"STK17A","STK17A",0.421,1
"TBK1","TBK1",0.421,1
"TSSK1B","TSSK1B",0.421,1
"ADRA1B","ADRA1B",0.422,1
"AR","AR",0.422,1
"DHCR7","DHCR7",0.431,1
"TBXAS1","TBXAS1",0.436,1
"CHEK1","CHEK1",0.441,1
"MMP1","MMP1",0.441,1
"NEK4","NEK4",0.446,1
"PHKG2","PHKG2",0.446,1
"PRKG1","PRKG1",0.446,1
"ZAP70","ZAP70",0.446,1
"EPHA2","EPHA2",0.45,1
"ESR1","ESR1",0.45,1
"ADORA3","ADORA3",0.451,1
"CSNK2A1","CSNK2A1",0.459,1
"CYP1A2","CYP1A2",0.468,1
"CYP2C19","CYP2C19",0.469,1
"CCR2","CCR2",0.473,1
"CYP2C8","CYP2C8",0.473,1
"THRA","THRA",0.473,1
