"","target","p","padj"
"PIK3CB","PIK3CB",0.011,1
"NCOR2","NCOR2",0.015,1
"ROS1","ROS1",0.018,1
"ESRRA","ESRRA",0.019,1
"LRRK2","LRRK2",0.043,1
"PAK4","PAK4",0.043,1
"PRKAA1","PRKAA1",0.043,1
"MYLK","MYLK",0.044,1
"TACR1","TACR1",0.044,1
"TAOK1","TAOK1",0.044,1
"MAPK8","MAPK8",0.046,1
"ITK","ITK",0.047,1
"HDAC1","HDAC1",0.051,1
"HDAC10","HDAC10",0.051,1
"HDAC11","HDAC11",0.051,1
"HDAC2","HDAC2",0.051,1
"HDAC3","HDAC3",0.051,1
"HDAC4","HDAC4",0.051,1
"HDAC5","HDAC5",0.051,1
"HDAC6","HDAC6",0.051,1
"HDAC7","HDAC7",0.051,1
"HDAC8","HDAC8",0.051,1
"HDAC9","HDAC9",0.051,1
"DAPK3","DAPK3",0.055,1
"LTK","LTK",0.058,1
"PARP2","PARP2",0.058,1
"NEK2","NEK2",0.062,1
"ROCK2","ROCK2",0.068,1
"EBPL","EBPL",0.07,1
"CLK4","CLK4",0.071,1
"MAP4K4","MAP4K4",0.078,1
"MAP2K2","MAP2K2",0.079,1
"MAP2K1","MAP2K1",0.08,1
"CSK","CSK",0.083,1
"ALK","ALK",0.084,1
"ESRRB","ESRRB",0.086,1
"GPER","GPER",0.086,1
"SHBG","SHBG",0.086,1
"MAP4K5","MAP4K5",0.089,1
"MARK4","MARK4",0.092,1
"BLK","BLK",0.093,1
"NR0B1","NR0B1",0.094,1
"PARP1","PARP1",0.094,1
"TNKS","TNKS",0.099,1
"PIM3","PIM3",0.103,1
"PRKX","PRKX",0.103,1
"MAPK9","MAPK9",0.104,1
"TNKS2","TNKS2",0.104,1
"KDM4DL","KDM4DL",0.105,1
"MST1R","MST1R",0.106,1
"SCN9A","SCN9A",0.106,1
"RARA","RARA",0.108,1
"RARB","RARB",0.108,1
"RARG","RARG",0.108,1
"PDGFRA","PDGFRA",0.109,1
"TRAP1","TRAP1",0.109,1
"AURKC","AURKC",0.114,1
"ESRRG","ESRRG",0.116,1
"PLD1","PLD1",0.116,1
"PLD2","PLD2",0.116,1
"PIK3CD","PIK3CD",0.119,1
"PIK3CG","PIK3CG",0.119,1
"PLK3","PLK3",0.119,1
"DYRK1B","DYRK1B",0.12,1
"KIT","KIT",0.12,1
"LTA4H","LTA4H",0.121,1
"SRC","SRC",0.128,1
"RET","RET",0.129,1
"MAP4K2","MAP4K2",0.131,1
"F2","F2",0.134,1
"HIPK2","HIPK2",0.134,1
"IGF1R","IGF1R",0.137,1
"FLT3","FLT3",0.138,1
"HSP90AA1","HSP90AA1",0.139,1
"HSP90AB1","HSP90AB1",0.139,1
"PIK3R1","PIK3R1",0.141,1
"DDR2","DDR2",0.145,1
"MMP14","MMP14",0.146,1
"MMP8","MMP8",0.146,1
"CLK2","CLK2",0.147,1
"RPS6KA3","RPS6KA3",0.147,1
"BMX","BMX",0.148,1
"BRSK1","BRSK1",0.151,1
"RPS6KB1","RPS6KB1",0.151,1
"JAK3","JAK3",0.152,1
"MELK","MELK",0.152,1
"PAK1","PAK1",0.152,1
"LCK","LCK",0.156,1
"ABL1","ABL1",0.159,1
"TYK2","TYK2",0.16,1
"ADRB1","ADRB1",0.161,1
"BDKRB2","BDKRB2",0.161,1
"MC3R","MC3R",0.161,1
"MC4R","MC4R",0.161,1
"MC5R","MC5R",0.161,1
"SLC22A3","SLC22A3",0.161,1
"CHRNA3","CHRNA3",0.163,1
"CHRNA4","CHRNA4",0.163,1
"CHRNA7","CHRNA7",0.163,1
"CHRNB2","CHRNB2",0.163,1
"LIMK1","LIMK1",0.175,1
"MARK2","MARK2",0.177,1
"ROCK1","ROCK1",0.179,1
"FGFR1","FGFR1",0.18,1
"FLT4","FLT4",0.186,1
"MMP12","MMP12",0.186,1
"MMP13","MMP13",0.186,1
"MMP3","MMP3",0.186,1
"MMP9","MMP9",0.186,1
"PLK1","PLK1",0.186,1
"BCR","BCR",0.187,1
"AURKB","AURKB",0.191,1
"TLR9","TLR9",0.191,1
"MARK3","MARK3",0.205,1
"ABCB11","ABCB11",0.207,1
"PDGFRB","PDGFRB",0.209,1
"PDPK1","PDPK1",0.21,1
"CSF1R","CSF1R",0.229,1
"FLT1","FLT1",0.229,1
"FGFR3","FGFR3",0.23,1
"SIK2","SIK2",0.23,1
"DYRK1A","DYRK1A",0.233,1
"MAPK10","MAPK10",0.235,1
"ACVR1","ACVR1",0.238,1
"PIK3CA","PIK3CA",0.24,1
"ADORA1","ADORA1",0.243,1
"ADORA2A","ADORA2A",0.243,1
"PTGS1","PTGS1",0.25,1
"ADRA2A","ADRA2A",0.252,1
"CYP2B6","CYP2B6",0.256,1
"CYP2B7P1","CYP2B7P1",0.256,1
"CA3","CA3",0.262,1
"BTK","BTK",0.263,1
"NTRK3","NTRK3",0.265,1
"TYRO3","TYRO3",0.265,1
"AURKA","AURKA",0.273,1
"RXRA","RXRA",0.275,1
"MAP3K10","MAP3K10",0.276,1
"ZAK","ZAK",0.276,1
"NFKB1","NFKB1",0.277,1
"NFKB2","NFKB2",0.277,1
"RELA","RELA",0.277,1
"PLK4","PLK4",0.282,1
