"","GeneID"
"29",3909
"42",10644
"57",5050
"66",5019
"70",4998
"80",332
"91",8318
"111",4605
"147",644
"172",51053
"178",10112
"200",991
"202",3925
"206",9928
"208",6696
"284",7153
"295",2048
"301",891
"340",1062
"359",11004
"379",890
"396",1029
"438",701
"439",9133
"453",874
"484",116832
"486",993
"494",7015
"505",9833
"529",79170
"566",983
"598",11065
"605",2810
"623",9212
"764",3122
"977",3206
"1",5743
"2",2920
"3",5054
"4",7043
"5",9924
"6",2946
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"291",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"421",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
