"","GeneID"
"4",2115
"7",1870
"14",960
"33",10797
"49",4998
"51",4313
"57",332
"64",8318
"75",4605
"99",2146
"100",4232
"107",1277
"125",10112
"146",991
"148",9928
"177",6659
"178",652
"211",7153
"230",1019
"240",4609
"242",7020
"248",51203
"260",1062
"276",11004
"300",1956
"305",1029
"335",701
"339",9133
"369",9833
"424",983
"448",11065
"472",9212
"813",11044
"1",3909
"2",8900
"3",56924
"410",11007
"5",3303
"6",56924
"71",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"141",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"331",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"491",NA
"50",NA
