"","target","p","padj"
"CHEMBL1785","CHEMBL1785",0,0
"CHEMBL2046259","CHEMBL2046259",0,0
"CHEMBL2093870","CHEMBL2093870",0,0
"CHEMBL2094116","CHEMBL2094116",0,0
"CHEMBL2094123","CHEMBL2094123",0,0
"CHEMBL2095159","CHEMBL2095159",0,0
"CHEMBL2182","CHEMBL2182",0,0
"CHEMBL2625","CHEMBL2625",0,0
"CHEMBL2706","CHEMBL2706",0,0
"CHEMBL273","CHEMBL273",0,0
"CHEMBL2756","CHEMBL2756",0,0
"CHEMBL287","CHEMBL287",0,0
"CHEMBL300","CHEMBL300",0,0
"CHEMBL310","CHEMBL310",0,0
"CHEMBL322","CHEMBL322",0,0
"CHEMBL324","CHEMBL324",0,0
"CHEMBL3596","CHEMBL3596",0,0
"CHEMBL4317","CHEMBL4317",0,0
"CHEMBL4328","CHEMBL4328",0,0
"CHEMBL4566","CHEMBL4566",0,0
"CHEMBL4581","CHEMBL4581",0,0
"CHEMBL5462","CHEMBL5462",0,0
"CHEMBL1875","CHEMBL1875",0.001,1
"CHEMBL1899","CHEMBL1899",0.001,1
"CHEMBL1907","CHEMBL1907",0.001,1
"CHEMBL1907608","CHEMBL1907608",0.001,1
"CHEMBL1944490","CHEMBL1944490",0.001,1
"CHEMBL2072","CHEMBL2072",0.001,1
"CHEMBL2088","CHEMBL2088",0.001,1
"CHEMBL2094120","CHEMBL2094120",0.001,1
"CHEMBL2094130","CHEMBL2094130",0.001,1
"CHEMBL2111339","CHEMBL2111339",0.001,1
"CHEMBL2452","CHEMBL2452",0.001,1
"CHEMBL252","CHEMBL252",0.001,1
"CHEMBL2720","CHEMBL2720",0.001,1
"CHEMBL3369","CHEMBL3369",0.001,1
"CHEMBL339","CHEMBL339",0.001,1
"CHEMBL3399","CHEMBL3399",0.001,1
"CHEMBL3737","CHEMBL3737",0.001,1
"CHEMBL3869","CHEMBL3869",0.001,1
"CHEMBL3965","CHEMBL3965",0.001,1
"CHEMBL5620","CHEMBL5620",0.001,1
"CHEMBL1293287","CHEMBL1293287",0.002,1
"CHEMBL2028","CHEMBL2028",0.002,1
"CHEMBL2186","CHEMBL2186",0.002,1
"CHEMBL2476","CHEMBL2476",0.002,1
"CHEMBL283","CHEMBL283",0.002,1
"CHEMBL330","CHEMBL330",0.002,1
"CHEMBL3446","CHEMBL3446",0.002,1
"CHEMBL3891","CHEMBL3891",0.002,1
"CHEMBL4073","CHEMBL4073",0.002,1
"CHEMBL4507","CHEMBL4507",0.002,1
"CHEMBL4631","CHEMBL4631",0.002,1
"CHEMBL4796","CHEMBL4796",0.002,1
"CHEMBL5657","CHEMBL5657",0.002,1
"CHEMBL5756","CHEMBL5756",0.002,1
"CHEMBL1944495","CHEMBL1944495",0.003,1
"CHEMBL2029198","CHEMBL2029198",0.003,1
"CHEMBL2094121","CHEMBL2094121",0.003,1
"CHEMBL2095197","CHEMBL2095197",0.003,1
"CHEMBL2095198","CHEMBL2095198",0.003,1
"CHEMBL2096971","CHEMBL2096971",0.003,1
"CHEMBL214","CHEMBL214",0.003,1
"CHEMBL2273","CHEMBL2273",0.003,1
"CHEMBL2318","CHEMBL2318",0.003,1
"CHEMBL2331068","CHEMBL2331068",0.003,1
"CHEMBL269","CHEMBL269",0.003,1
"CHEMBL323","CHEMBL323",0.003,1
"CHEMBL3351200","CHEMBL3351200",0.003,1
"CHEMBL3371","CHEMBL3371",0.003,1
"CHEMBL3437","CHEMBL3437",0.003,1
"CHEMBL3594","CHEMBL3594",0.003,1
"CHEMBL3597","CHEMBL3597",0.003,1
"CHEMBL3621","CHEMBL3621",0.003,1
"CHEMBL4027","CHEMBL4027",0.003,1
"CHEMBL4774","CHEMBL4774",0.003,1
"CHEMBL1902","CHEMBL1902",0.004,1
"CHEMBL1943","CHEMBL1943",0.004,1
"CHEMBL205","CHEMBL205",0.004,1
"CHEMBL2200","CHEMBL2200",0.004,1
"CHEMBL4077","CHEMBL4077",0.004,1
"CHEMBL5485","CHEMBL5485",0.004,1
"CHEMBL5857","CHEMBL5857",0.004,1
"CHEMBL1903","CHEMBL1903",0.005,1
"CHEMBL2163175","CHEMBL2163175",0.005,1
"CHEMBL2531","CHEMBL2531",0.005,1
"CHEMBL343","CHEMBL343",0.005,1
"CHEMBL4198","CHEMBL4198",0.005,1
"CHEMBL4478","CHEMBL4478",0.005,1
"CHEMBL5368","CHEMBL5368",0.005,1
"CHEMBL2095203","CHEMBL2095203",0.006,1
"CHEMBL270","CHEMBL270",0.006,1
"CHEMBL3881","CHEMBL3881",0.006,1
"CHEMBL4051","CHEMBL4051",0.006,1
"CHEMBL2382","CHEMBL2382",0.007,1
"CHEMBL2439","CHEMBL2439",0.007,1
"CHEMBL3000","CHEMBL3000",0.007,1
"CHEMBL3359","CHEMBL3359",0.007,1
"CHEMBL3776","CHEMBL3776",0.007,1
"CHEMBL4681","CHEMBL4681",0.007,1
"CHEMBL4761","CHEMBL4761",0.007,1
"CHEMBL1641347","CHEMBL1641347",0.008,1
"CHEMBL1764946","CHEMBL1764946",0.008,1
"CHEMBL2094118","CHEMBL2094118",0.008,1
"CHEMBL2094132","CHEMBL2094132",0.008,1
"CHEMBL2111357","CHEMBL2111357",0.008,1
"CHEMBL217","CHEMBL217",0.008,1
"CHEMBL2323","CHEMBL2323",0.008,1
