"","target","p","padj"
"GABRB2","GABRB2",0.006,1
"ADRB1","ADRB1",0.012,1
"GABRA2","GABRA2",0.012,1
"GABRG2","GABRG2",0.012,1
"PABPC1","PABPC1",0.013,1
"APOBEC3G","APOBEC3G",0.014,1
"GABRA1","GABRA1",0.015,1
"GABRB3","GABRB3",0.015,1
"ACE","ACE",0.017,1
"MTNR1A","MTNR1A",0.019,1
"MTNR1B","MTNR1B",0.019,1
"ATP4A","ATP4A",0.032,1
"ATP4B","ATP4B",0.032,1
"ADRB2","ADRB2",0.038,1
"ITGB3","ITGB3",0.041,1
"GABRB1","GABRB1",0.051,1
"RARA","RARA",0.065,1
"RARB","RARB",0.065,1
"CYSLTR1","CYSLTR1",0.069,1
"CACNA1C","CACNA1C",0.071,1
"PDE11A","PDE11A",0.072,1
"PDE6A","PDE6A",0.072,1
"PDE6B","PDE6B",0.072,1
"PDE6C","PDE6C",0.072,1
"PDE6D","PDE6D",0.072,1
"PDE6G","PDE6G",0.072,1
"PDE6H","PDE6H",0.072,1
"GUCY1A3","GUCY1A3",0.08,1
"GABRA3","GABRA3",0.084,1
"SCN4A","SCN4A",0.089,1
"CYSLTR2","CYSLTR2",0.09,1
"GABRA4","GABRA4",0.091,1
"PTGS1","PTGS1",0.091,1
"TAAR1","TAAR1",0.092,1
"RXRA","RXRA",0.093,1
"ABCC1","ABCC1",0.101,1
"KDM4DL","KDM4DL",0.108,1
"CYP1A1","CYP1A1",0.111,1
"CYP1B1","CYP1B1",0.111,1
"FNTA","FNTA",0.116,1
"PGGT1B","PGGT1B",0.116,1
"DPP4","DPP4",0.117,1
"PDE4D","PDE4D",0.122,1
"GABRA6","GABRA6",0.126,1
"GABRD","GABRD",0.126,1
"GABRE","GABRE",0.126,1
"GABRG1","GABRG1",0.126,1
"GABRG3","GABRG3",0.126,1
"GABRP","GABRP",0.126,1
"GABRQ","GABRQ",0.126,1
"GRIN2C","GRIN2C",0.131,1
"GRIN2D","GRIN2D",0.131,1
"GRIN3A","GRIN3A",0.131,1
"GRIN3B","GRIN3B",0.131,1
"CYP19A1","CYP19A1",0.132,1
"EBP","EBP",0.132,1
"THRA","THRA",0.137,1
"THRB","THRB",0.137,1
"CACNA1D","CACNA1D",0.138,1
"PTGS2","PTGS2",0.14,1
"LTA4H","LTA4H",0.146,1
"XDH","XDH",0.146,1
"FNTB","FNTB",0.147,1
"HRH4","HRH4",0.148,1
"CXCR1","CXCR1",0.149,1
"HTR1F","HTR1F",0.15,1
"CA3","CA3",0.153,1
"HCRTR1","HCRTR1",0.154,1
"SLC22A6","SLC22A6",0.16,1
"PDE7A","PDE7A",0.162,1
"NOS2","NOS2",0.164,1
"SCN5A","SCN5A",0.165,1
