"","target","p","padj"
"HSD17B3","HSD17B3",0.009,1
"CYSLTR2","CYSLTR2",0.012,1
"MTNR1A","MTNR1A",0.015,1
"MTNR1B","MTNR1B",0.015,1
"FNTA","FNTA",0.03,1
"PGGT1B","PGGT1B",0.03,1
"CYSLTR1","CYSLTR1",0.031,1
"HTR1A","HTR1A",0.035,1
"PABPC1","PABPC1",0.037,1
"GRIN2C","GRIN2C",0.038,1
"GRIN2D","GRIN2D",0.038,1
"GRIN3A","GRIN3A",0.038,1
"GRIN3B","GRIN3B",0.038,1
"HTR3A","HTR3A",0.043,1
"GRIN2B","GRIN2B",0.044,1
"TAAR1","TAAR1",0.044,1
"PCSK7","PCSK7",0.055,1
"MMP14","MMP14",0.057,1
"CTSL1","CTSL1",0.059,1
"OXER1","OXER1",0.061,1
"ACE","ACE",0.063,1
"GUCY1A3","GUCY1A3",0.072,1
"EDNRB","EDNRB",0.078,1
"FNTB","FNTB",0.08,1
"HTR4","HTR4",0.089,1
"ITGB3","ITGB3",0.096,1
"HTR1D","HTR1D",0.099,1
"HTR5A","HTR5A",0.101,1
"CTDSP1","CTDSP1",0.105,1
"CYP11B1","CYP11B1",0.109,1
"CYP11B2","CYP11B2",0.109,1
"BCHE","BCHE",0.11,1
"MMP3","MMP3",0.11,1
"GRIN2A","GRIN2A",0.112,1
"HTR7","HTR7",0.116,1
"GPR17","GPR17",0.117,1
"NTSR1","NTSR1",0.12,1
"PPARD","PPARD",0.123,1
"HCRTR1","HCRTR1",0.126,1
"SIRT1","SIRT1",0.129,1
"SLC22A6","SLC22A6",0.134,1
"REN","REN",0.138,1
"HTR1B","HTR1B",0.139,1
"EDNRA","EDNRA",0.14,1
"CYP2B6","CYP2B6",0.141,1
"CYP2B7P1","CYP2B7P1",0.141,1
"PPARG","PPARG",0.15,1
"SIRT2","SIRT2",0.156,1
"PDE11A","PDE11A",0.158,1
"PDE6A","PDE6A",0.158,1
"PDE6B","PDE6B",0.158,1
"PDE6C","PDE6C",0.158,1
"PDE6D","PDE6D",0.158,1
"PDE6G","PDE6G",0.158,1
"PDE6H","PDE6H",0.158,1
"CXCR4","CXCR4",0.168,1
"MMP8","MMP8",0.168,1
"FFAR1","FFAR1",0.176,1
"NR3C1","NR3C1",0.176,1
"GRIN1","GRIN1",0.178,1
"ABCC8","ABCC8",0.181,1
"APOBEC3G","APOBEC3G",0.183,1
"GRM5","GRM5",0.188,1
"MMP1","MMP1",0.191,1
"CHRNB4","CHRNB4",0.194,1
"SLC22A8","SLC22A8",0.206,1
"GPBAR1","GPBAR1",0.211,1
"SLC22A11","SLC22A11",0.211,1
"SENP7","SENP7",0.227,1
"CACNA1S","CACNA1S",0.236,1
"ABCC9","ABCC9",0.237,1
"MMP13","MMP13",0.239,1
"PGR","PGR",0.241,1
"CHRNA7","CHRNA7",0.242,1
"SCN9A","SCN9A",0.242,1
"LTA4H","LTA4H",0.243,1
"GPR35","GPR35",0.244,1
"HTR1F","HTR1F",0.248,1
"TYMS","TYMS",0.254,1
"CTSB","CTSB",0.263,1
"GLO1","GLO1",0.273,1
"SLC22A1","SLC22A1",0.273,1
"CYP19A1","CYP19A1",0.275,1
"HCAR2","HCAR2",0.276,1
"HRH4","HRH4",0.285,1
"SIGMAR1","SIGMAR1",0.285,1
"NISCH","NISCH",0.286,1
"KCNJ11","KCNJ11",0.291,1
"EBP","EBP",0.297,1
"CACNA1C","CACNA1C",0.302,1
"HTR3B","HTR3B",0.303,1
"HTR3C","HTR3C",0.303,1
"HTR3D","HTR3D",0.303,1
"HTR3E","HTR3E",0.303,1
"CHRNA1","CHRNA1",0.309,1
"CHRNB1","CHRNB1",0.309,1
"CHRND","CHRND",0.309,1
"CHRNG","CHRNG",0.309,1
"PDE7A","PDE7A",0.313,1
"NOX1","NOX1",0.316,1
"CXCR2","CXCR2",0.323,1
"SHBG","SHBG",0.326,1
"ADRB2","ADRB2",0.329,1
"SCN4A","SCN4A",0.33,1
"PPARA","PPARA",0.334,1
"SCN5A","SCN5A",0.339,1
"NR3C2","NR3C2",0.34,1
"FABP2","FABP2",0.341,1
"AVPR2","AVPR2",0.349,1
"PTGS1","PTGS1",0.349,1
"CHRNA3","CHRNA3",0.357,1
"HPGD","HPGD",0.363,1
"DHFR","DHFR",0.364,1
"DHFRP1","DHFRP1",0.364,1
"PLAU","PLAU",0.368,1
"ACE2","ACE2",0.369,1
"ABCC1","ABCC1",0.375,1
"NR1I2","NR1I2",0.38,1
"SCN2A","SCN2A",0.385,1
"AVPR1A","AVPR1A",0.387,1
"AGTR1","AGTR1",0.388,1
"CHRNA4","CHRNA4",0.392,1
"CHRNB2","CHRNB2",0.392,1
"DRD5","DRD5",0.396,1
"DRD5P1","DRD5P1",0.396,1
"SLC22A2","SLC22A2",0.396,1
"GRM1","GRM1",0.397,1
"SCN1A","SCN1A",0.399,1
"SCN3A","SCN3A",0.399,1
"AR","AR",0.4,1
"GABRB2","GABRB2",0.4,1
"PARP2","PARP2",0.4,1
"ATG4B","ATG4B",0.403,1
"CXCR1","CXCR1",0.41,1
"PLA2G1B","PLA2G1B",0.416,1
"PDE10A","PDE10A",0.418,1
"ALPL","ALPL",0.419,1
"PDE4D","PDE4D",0.422,1
"TRPA1","TRPA1",0.422,1
"GPER","GPER",0.426,1
"PDE5A","PDE5A",0.433,1
"AURKC","AURKC",0.436,1
"FAAH","FAAH",0.437,1
"SCNN1A","SCNN1A",0.438,1
"MMP9","MMP9",0.46,1
"MMP12","MMP12",0.462,1
"RARA","RARA",0.468,1
"RARB","RARB",0.468,1
"CACNA1D","CACNA1D",0.477,1
"GABRA1","GABRA1",0.477,1
"GABRB3","GABRB3",0.477,1
"CTSK","CTSK",0.484,1
"KCNA3","KCNA3",0.484,1
"NQO2","NQO2",0.484,1
"CYP1A1","CYP1A1",0.492,1
"CYP1B1","CYP1B1",0.492,1
"TACR3","TACR3",0.494,1
"MAOA","MAOA",0.499,1
"MKNK1","MKNK1",0.505,1
"NR1H3","NR1H3",0.509,1
"TUBA1A","TUBA1A",0.519,1
"TUBA1B","TUBA1B",0.519,1
"TUBA1C","TUBA1C",0.519,1
"TUBA3C","TUBA3C",0.519,1
"TUBA3D","TUBA3D",0.519,1
"TUBA3E","TUBA3E",0.519,1
"TUBA4A","TUBA4A",0.519,1
"TUBB","TUBB",0.519,1
"TUBB1","TUBB1",0.519,1
"TUBB2A","TUBB2A",0.519,1
"TUBB2B","TUBB2B",0.519,1
"TUBB2C","TUBB2C",0.519,1
"TUBB3","TUBB3",0.519,1
"TUBB4","TUBB4",0.519,1
"TUBB6","TUBB6",0.519,1
"TUBB8","TUBB8",0.519,1
"SLCO4C1","SLCO4C1",0.527,1
"ADRA1A","ADRA1A",0.529,1
"PDE4B","PDE4B",0.53,1
"PDE4C","PDE4C",0.53,1
"GABRA2","GABRA2",0.535,1
"GABRG2","GABRG2",0.535,1
"ABCC4","ABCC4",0.542,1
"XDH","XDH",0.55,1
"PDE3B","PDE3B",0.552,1
"PTGS2","PTGS2",0.557,1
"BACE1","BACE1",0.559,1
"AGTR2","AGTR2",0.56,1
"SLC29A1","SLC29A1",0.56,1
"RXRA","RXRA",0.562,1
"NPY1R","NPY1R",0.57,1
"PDE3A","PDE3A",0.575,1
"DPP4","DPP4",0.583,1
"MMP2","MMP2",0.585,1
"CA2","CA2",0.588,1
"TGFBR2","TGFBR2",0.59,1
"MPI","MPI",0.592,1
"PMM2","PMM2",0.592,1
"GABRA3","GABRA3",0.593,1
"IL8","IL8",0.595,1
"TNF","TNF",0.603,1
"CA3","CA3",0.612,1
"PHOSPHO1","PHOSPHO1",0.613,1
"CYP2C9","CYP2C9",0.62,1
"EPHX2","EPHX2",0.621,1
"PDE2A","PDE2A",0.622,1
"TRPM8","TRPM8",0.626,1
"ABL2","ABL2",0.627,1
"NOS2","NOS2",0.628,1
"PKN1","PKN1",0.63,1
"GAA","GAA",0.634,1
"PARP1","PARP1",0.634,1
"KDM4DL","KDM4DL",0.636,1
"HMGCR","HMGCR",0.637,1
"PRKCI","PRKCI",0.64,1
"RPS6KA1","RPS6KA1",0.641,1
"ESRRG","ESRRG",0.642,1
"GABRB1","GABRB1",0.649,1
"DRD4","DRD4",0.652,1
"PDE4A","PDE4A",0.654,1
"RORA","RORA",0.655,1
"CCR2","CCR2",0.657,1
"CYP2C8","CYP2C8",0.657,1
"TERT","TERT",0.658,1
"ATP4A","ATP4A",0.662,1
"ATP4B","ATP4B",0.662,1
"AMY1A","AMY1A",0.663,1
"AMY1B","AMY1B",0.663,1
"AMY1C","AMY1C",0.663,1
"AMY2A","AMY2A",0.663,1
"TBXA2R","TBXA2R",0.666,1
"CSK","CSK",0.668,1
"PTPN1","PTPN1",0.668,1
"EBPL","EBPL",0.669,1
"ADRA1B","ADRA1B",0.672,1
"TLR9","TLR9",0.672,1
"SOAT1","SOAT1",0.678,1
"PRKD1","PRKD1",0.688,1
"PRKCA","PRKCA",0.689,1
"PRKCH","PRKCH",0.689,1
"PTK2B","PTK2B",0.69,1
"SLC47A1","SLC47A1",0.698,1
"NR1H2","NR1H2",0.702,1
"TNKS","TNKS",0.703,1
"HRH1","HRH1",0.707,1
"CYP17A1","CYP17A1",0.71,1
"PDE1A","PDE1A",0.71,1
"PDE1B","PDE1B",0.71,1
"PDE1C","PDE1C",0.71,1
"RARG","RARG",0.71,1
"ESRRB","ESRRB",0.713,1
"CA12","CA12",0.715,1
"HTR2C","HTR2C",0.715,1
"PRKACB","PRKACB",0.718,1
"PRKACG","PRKACG",0.718,1
"SMO","SMO",0.719,1
"THRA","THRA",0.72,1
"THRB","THRB",0.72,1
"NCOR2","NCOR2",0.724,1
"HRH3","HRH3",0.726,1
"DRD2","DRD2",0.729,1
"CYP1A2","CYP1A2",0.73,1
"AKR1C1","AKR1C1",0.731,1
"BCL2","BCL2",0.734,1
"BCL2L1","BCL2L1",0.734,1
"TEC","TEC",0.735,1
"TXK","TXK",0.735,1
"EPHB2","EPHB2",0.736,1
"TRPV1","TRPV1",0.736,1
"HTR2B","HTR2B",0.739,1
"CYP2C19","CYP2C19",0.74,1
"AKR1C3","AKR1C3",0.746,1
"MAOB","MAOB",0.747,1
"NR1H4","NR1H4",0.747,1
"ADORA2B","ADORA2B",0.751,1
"GABRA4","GABRA4",0.751,1
"HSD17B2","HSD17B2",0.751,1
"TNKS2","TNKS2",0.752,1
"CA7","CA7",0.753,1
"TDP2","TDP2",0.757,1
"CCR4","CCR4",0.758,1
"GPR55","GPR55",0.759,1
"PRKCZ","PRKCZ",0.764,1
"PRKCE","PRKCE",0.765,1
"CCKAR","CCKAR",0.769,1
"TGFBR1","TGFBR1",0.77,1
"SLCO2B1","SLCO2B1",0.775,1
"ALOX12","ALOX12",0.781,1
"ODC1","ODC1",0.781,1
"ACHE","ACHE",0.782,1
"DRD3","DRD3",0.783,1
"PTAFR","PTAFR",0.784,1
"CDC25A","CDC25A",0.786,1
"F2","F2",0.786,1
"GABRA6","GABRA6",0.786,1
"GABRD","GABRD",0.786,1
"GABRE","GABRE",0.786,1
"GABRG1","GABRG1",0.786,1
"GABRG3","GABRG3",0.786,1
"GABRP","GABRP",0.786,1
"GABRQ","GABRQ",0.786,1
"SLC22A3","SLC22A3",0.788,1
"ADRB1","ADRB1",0.794,1
"ALOX5","ALOX5",0.794,1
"PRKG1","PRKG1",0.798,1
"ZAP70","ZAP70",0.802,1
"KCNH2","KCNH2",0.803,1
"SLC47A2","SLC47A2",0.808,1
"MAPKAPK2","MAPKAPK2",0.81,1
"CA14","CA14",0.813,1
"CASP3","CASP3",0.816,1
"APAF1","APAF1",0.82,1
"ALOX15","ALOX15",0.821,1
"ADRA1D","ADRA1D",0.823,1
"MAPK13","MAPK13",0.823,1
"AKR1B1","AKR1B1",0.826,1
"DUSP3","DUSP3",0.828,1
"PTGER3","PTGER3",0.83,1
"CYP2D6","CYP2D6",0.839,1
"CACNA1B","CACNA1B",0.841,1
"MARK4","MARK4",0.844,1
"PLK1","PLK1",0.844,1
"TSSK1B","TSSK1B",0.844,1
"BDKRB2","BDKRB2",0.845,1
"RPS6KA5","RPS6KA5",0.846,1
"PI4KB","PI4KB",0.847,1
"CA1","CA1",0.849,1
"CA9","CA9",0.85,1
"EIF2AK2","EIF2AK2",0.851,1
"ROS1","ROS1",0.851,1
"AKT3","AKT3",0.852,1
"NFKB1","NFKB1",0.854,1
"NFKB2","NFKB2",0.854,1
"RELA","RELA",0.854,1
"SLC10A1","SLC10A1",0.856,1
"MAPK12","MAPK12",0.858,1
"NPY2R","NPY2R",0.858,1
"ADCY1","ADCY1",0.859,1
"TBK1","TBK1",0.861,1
"MAP3K10","MAP3K10",0.863,1
"ADRB3","ADRB3",0.864,1
"CYP51A1","CYP51A1",0.864,1
"G6PD","G6PD",0.865,1
"FES","FES",0.867,1
"PRKX","PRKX",0.87,1
"ABCC2","ABCC2",0.871,1
"CA5A","CA5A",0.872,1
"CA5B","CA5B",0.872,1
"PRNP","PRNP",0.872,1
"OPRL1","OPRL1",0.873,1
"GABRA5","GABRA5",0.877,1
"RORC","RORC",0.879,1
"HTR2A","HTR2A",0.883,1
"PRKCG","PRKCG",0.883,1
"CA4","CA4",0.886,1
"ATM","ATM",0.887,1
"MYLK","MYLK",0.891,1
"NOX4","NOX4",0.893,1
"HRH2","HRH2",0.894,1
"PTGIR","PTGIR",0.894,1
"HSD17B1","HSD17B1",0.897,1
"FGFR4","FGFR4",0.903,1
"MAPK11","MAPK11",0.904,1
"FKBP1B","FKBP1B",0.911,1
"PIM3","PIM3",0.911,1
"PPIA","PPIA",0.911,1
"PPIB","PPIB",0.911,1
"PPID","PPID",0.911,1
"PPP3CA","PPP3CA",0.911,1
"SLC10A2","SLC10A2",0.911,1
"XBP1","XBP1",0.911,1
"KIF11","KIF11",0.918,1
"ADORA3","ADORA3",0.92,1
"PRKCQ","PRKCQ",0.92,1
"PRKCB","PRKCB",0.924,1
"ABCB11","ABCB11",0.925,1
"CA13","CA13",0.926,1
"TEK","TEK",0.928,1
"PIM1","PIM1",0.93,1
"PRKACA","PRKACA",0.93,1
"CAMK2A","CAMK2A",0.931,1
"CNR1","CNR1",0.931,1
"BRSK1","BRSK1",0.932,1
"SGK2","SGK2",0.932,1
"PAK1","PAK1",0.934,1
"CA6","CA6",0.935,1
"PLK4","PLK4",0.935,1
"AKT1","AKT1",0.936,1
"ESRRA","ESRRA",0.937,1
"NEK4","NEK4",0.937,1
"PTGER4","PTGER4",0.937,1
"PLD1","PLD1",0.94,1
"PLD2","PLD2",0.94,1
"ADORA1","ADORA1",0.943,1
"CCKBR","CCKBR",0.944,1
"FER","FER",0.944,1
"CNR2","CNR2",0.945,1
"MGAM","MGAM",0.945,1
"HKDC1","HKDC1",0.948,1
"NR0B1","NR0B1",0.949,1
"YES1","YES1",0.949,1
"CHRM3","CHRM3",0.952,1
