"","target","p","padj"
"KCNA5","KCNA5",0.954,1
"AKT2","AKT2",0.955,1
"IKBKB","IKBKB",0.955,1
"MARK2","MARK2",0.955,1
"UBE2N","UBE2N",0.955,1
"PLK3","PLK3",0.956,1
"BCR","BCR",0.957,1
"CHRM5","CHRM5",0.958,1
"PDPK1","PDPK1",0.958,1
"DHCR7","DHCR7",0.961,1
"KARS","KARS",0.961,1
"BMX","BMX",0.962,1
"DYRK1A","DYRK1A",0.962,1
"PTK2","PTK2",0.962,1
"CDC25B","CDC25B",0.963,1
"CSNK1E","CSNK1E",0.963,1
"ITK","ITK",0.963,1
"TYK2","TYK2",0.963,1
"ADORA2A","ADORA2A",0.964,1
"PHKG2","PHKG2",0.964,1
"INSR","INSR",0.965,1
"JAK1","JAK1",0.965,1
"SIK2","SIK2",0.966,1
"NEK2","NEK2",0.967,1
"TOP2A","TOP2A",0.967,1
"CHUK","CHUK",0.968,1
"MAPK10","MAPK10",0.968,1
"CHRM2","CHRM2",0.969,1
"DDR1","DDR1",0.969,1
"HIF1A","HIF1A",0.97,1
"HSP90AB1","HSP90AB1",0.971,1
"IDO1","IDO1",0.971,1
"MC5R","MC5R",0.971,1
"HDAC6","HDAC6",0.973,1
"ROCK1","ROCK1",0.973,1
"PRKCD","PRKCD",0.974,1
"ADRA2A","ADRA2A",0.975,1
"TYRO3","TYRO3",0.975,1
"IGF1R","IGF1R",0.976,1
"RIPK2","RIPK2",0.977,1
"","",0.978,1
"CASP1","CASP1",0.979,1
"F3","F3",0.979,1
"MAPK1","MAPK1",0.979,1
"TOP2B","TOP2B",0.979,1
"MC3R","MC3R",0.98,1
"PAK4","PAK4",0.98,1
"SLC6A4","SLC6A4",0.98,1
"DRD1","DRD1",0.981,1
"HTR6","HTR6",0.981,1
"PRKDC","PRKDC",0.981,1
"PTK6","PTK6",0.981,1
"ADRA2C","ADRA2C",0.982,1
"LIMK1","LIMK1",0.982,1
"MELK","MELK",0.982,1
"MAPK14","MAPK14",0.983,1
"TNK2","TNK2",0.983,1
"CAMK2B","CAMK2B",0.984,1
"CHRM1","CHRM1",0.984,1
"SYK","SYK",0.984,1
"CDK6","CDK6",0.985,1
"NTRK1","NTRK1",0.985,1
"PRKD2","PRKD2",0.986,1
"AOX1","AOX1",0.987,1
"CAMK2G","CAMK2G",0.987,1
"MKNK2","MKNK2",0.987,1
"CCNE1","CCNE1",0.988,1
"CDK8","CDK8",0.988,1
"EPHB4","EPHB4",0.988,1
"SRMS","SRMS",0.988,1
"STK17A","STK17A",0.988,1
"CDK5R1","CDK5R1",0.989,1
"DYRK3","DYRK3",0.989,1
"FKBP4","FKBP4",0.989,1
"HDAC8","HDAC8",0.989,1
"HIPK2","HIPK2",0.989,1
"IRAK4","IRAK4",0.989,1
"MC4R","MC4R",0.989,1
"TRAP1","TRAP1",0.989,1
"CDC42BPA","CDC42BPA",0.99,1
"CSNK1G1","CSNK1G1",0.99,1
"CSNK2A1","CSNK2A1",0.99,1
"MARK3","MARK3",0.99,1
"NTRK3","NTRK3",0.99,1
"PIK3R1","PIK3R1",0.99,1
"RPS6KA3","RPS6KA3",0.99,1
"SLK","SLK",0.99,1
"TACR1","TACR1",0.99,1
"ATP1A1","ATP1A1",0.991,1
"ATP1A2","ATP1A2",0.991,1
"ATP1A3","ATP1A3",0.991,1
"ATP1A4","ATP1A4",0.991,1
"ATP1B1","ATP1B1",0.991,1
"ATP1B2","ATP1B2",0.991,1
"ATP1B3","ATP1B3",0.991,1
"CSNK1D","CSNK1D",0.991,1
"FXYD2","FXYD2",0.991,1
"MAP4K4","MAP4K4",0.991,1
"OPRM1","OPRM1",0.991,1
"ACVR1","ACVR1",0.992,1
"ADRA2B","ADRA2B",0.992,1
"CCNE2","CCNE2",0.992,1
"OPRD1","OPRD1",0.992,1
"SRPK1","SRPK1",0.992,1
"AXL","AXL",0.993,1
"CHRM4","CHRM4",0.993,1
"ERBB4","ERBB4",0.993,1
"FGFR2","FGFR2",0.993,1
"FKBP1A","FKBP1A",0.993,1
"LRRK2","LRRK2",0.993,1
"MAPK3","MAPK3",0.993,1
"PKN2","PKN2",0.993,1
"PRKAA1","PRKAA1",0.993,1
"SLCO1B1","SLCO1B1",0.993,1
"HDAC10","HDAC10",0.994,1
"TBXAS1","TBXAS1",0.994,1
"ZAK","ZAK",0.994,1
"CCNT1","CCNT1",0.995,1
"CSNK1G2","CSNK1G2",0.995,1
"DDR2","DDR2",0.995,1
"HCK","HCK",0.995,1
"HSP90AA1","HSP90AA1",0.995,1
"MDH1","MDH1",0.995,1
"SRC","SRC",0.995,1
"CAMKK2","CAMKK2",0.996,1
"ESR2","ESR2",0.996,1
"FLT3","FLT3",0.996,1
"HIPK4","HIPK4",0.996,1
"LTK","LTK",0.996,1
"MAPK8","MAPK8",0.996,1
"MST1R","MST1R",0.996,1
"NCOA1","NCOA1",0.996,1
"PRKD3","PRKD3",0.996,1
"RPS6KB1","RPS6KB1",0.996,1
"STK3","STK3",0.996,1
"BTK","BTK",0.997,1
"CAMK2D","CAMK2D",0.997,1
"CCNA1","CCNA1",0.997,1
"CCNH","CCNH",0.997,1
"CSNK1A1","CSNK1A1",0.997,1
"FGFR1","FGFR1",0.997,1
"FLT1","FLT1",0.997,1
"GRK5","GRK5",0.997,1
"HDAC1","HDAC1",0.997,1
"HDAC2","HDAC2",0.997,1
"MAP2K2","MAP2K2",0.997,1
"MINK1","MINK1",0.997,1
"PIK3C3","PIK3C3",0.997,1
"ALK","ALK",0.998,1
"CCNA2","CCNA2",0.998,1
"CCNB2","CCNB2",0.998,1
"CCNB3","CCNB3",0.998,1
"CHEK2","CHEK2",0.998,1
"EPHA2","EPHA2",0.998,1
"ESR1","ESR1",0.998,1
"GSK3A","GSK3A",0.998,1
"HDAC4","HDAC4",0.998,1
"HDAC5","HDAC5",0.998,1
"HDAC7","HDAC7",0.998,1
"HDAC9","HDAC9",0.998,1
"IRAK1","IRAK1",0.998,1
"JAK2","JAK2",0.998,1
"MAP4K2","MAP4K2",0.998,1
"MCL1","MCL1",0.998,1
"SLCO1B3","SLCO1B3",0.998,1
"STAT3","STAT3",0.998,1
"CCNB1","CCNB1",0.999,1
"CHEK1","CHEK1",0.999,1
"DAPK3","DAPK3",0.999,1
"FRK","FRK",0.999,1
"HDAC3","HDAC3",0.999,1
"MAP2K1","MAP2K1",0.999,1
"MAP4K5","MAP4K5",0.999,1
"NCOA3","NCOA3",0.999,1
"OPRK1","OPRK1",0.999,1
"PIK3CB","PIK3CB",0.999,1
"ROCK2","ROCK2",0.999,1
"SSTR4","SSTR4",0.999,1
"TAOK1","TAOK1",0.999,1
"ABCB1","ABCB1",1,1
"ABCG2","ABCG2",1,1
"ABL1","ABL1",1,1
"AURKA","AURKA",1,1
"AURKB","AURKB",1,1
"BLK","BLK",1,1
"BRAF","BRAF",1,1
"CCND1","CCND1",1,1
"CCND2","CCND2",1,1
"CCND3","CCND3",1,1
"CDK1","CDK1",1,1
"CDK2","CDK2",1,1
"CDK4","CDK4",1,1
"CDK5","CDK5",1,1
"CDK7","CDK7",1,1
"CDK9","CDK9",1,1
"CLK2","CLK2",1,1
"CLK4","CLK4",1,1
"CSF1R","CSF1R",1,1
"CYP3A4","CYP3A4",1,1
"DYRK1B","DYRK1B",1,1
"EGFR","EGFR",1,1
"ERBB2","ERBB2",1,1
"FGFR3","FGFR3",1,1
"FLT4","FLT4",1,1
"FYN","FYN",1,1
"GSK3B","GSK3B",1,1
"HDAC11","HDAC11",1,1
"JAK3","JAK3",1,1
"KDR","KDR",1,1
"KIT","KIT",1,1
"LCK","LCK",1,1
"LYN","LYN",1,1
"MAPK9","MAPK9",1,1
"MET","MET",1,1
"MTOR","MTOR",1,1
"NTRK2","NTRK2",1,1
"PDGFRA","PDGFRA",1,1
"PDGFRB","PDGFRB",1,1
"PIK3C2B","PIK3C2B",1,1
"PIK3CA","PIK3CA",1,1
"PIK3CD","PIK3CD",1,1
"PIK3CG","PIK3CG",1,1
"PSMB1","PSMB1",1,1
"PSMB2","PSMB2",1,1
"PSMB5","PSMB5",1,1
"RAF1","RAF1",1,1
"RET","RET",1,1
"SLC6A2","SLC6A2",1,1
"SLC6A3","SLC6A3",1,1
"TACR2","TACR2",1,1
"TOP1","TOP1",1,1
