"","GeneID"
"1",9918
"2",672
"3",1829
"4",1001
"5",2817
"6",2263
"7",5050
"8",4998
"9",6790
"10",332
"11",26227
"12",8318
"13",5427
"14",4605
"15",51599
"16",1277
"17",54733
"18",2597
"19",51053
"20",10112
"21",10057
"22",6509
"23",991
"24",3925
"25",9928
"26",6696
"27",10606
"28",7153
"29",5111
"30",8900
"31",2048
"32",891
"33",9053
"34",3775
"35",7020
"36",51203
"37",56924
"38",1062
"39",5366
"40",11004
"41",5792
"42",890
"43",1956
"44",3486
"45",1029
"46",5058
"47",1111
"48",8091
"49",701
"50",9133
"61",8837
"381",10046
"226",4616
"321",3202
"334",56654
"484",6909
"550",7538
"1011",2264
"1370",2624
