"","target","p","padj"
"DDR2","DDR2",0.001,0.487
"NCOR2","NCOR2",0.01,1
"MAPK13","MAPK13",0.019,1
"KIT","KIT",0.02,1
"MAPK8","MAPK8",0.023,1
"BCR","BCR",0.025,1
"NFKB1","NFKB1",0.039,1
"NFKB2","NFKB2",0.039,1
"RELA","RELA",0.039,1
"NTRK3","NTRK3",0.042,1
"TYRO3","TYRO3",0.042,1
"PIK3CB","PIK3CB",0.043,1
"PDGFRA","PDGFRA",0.052,1
"TAOK1","TAOK1",0.052,1
"MAPK9","MAPK9",0.056,1
"MAPK11","MAPK11",0.057,1
"LIMK1","LIMK1",0.058,1
"TRAP1","TRAP1",0.063,1
"MAPK12","MAPK12",0.064,1
"FLT4","FLT4",0.065,1
"MAP2K1","MAP2K1",0.066,1
"ROS1","ROS1",0.068,1
"EPHB2","EPHB2",0.077,1
"RIPK2","RIPK2",0.077,1
"ESRRB","ESRRB",0.083,1
"FGFR1","FGFR1",0.083,1
"GPER","GPER",0.083,1
"MAP4K4","MAP4K4",0.083,1
"NR0B1","NR0B1",0.083,1
"SHBG","SHBG",0.083,1
"EDNRA","EDNRA",0.085,1
"BTK","BTK",0.091,1
"CSK","CSK",0.091,1
"KDM4DL","KDM4DL",0.091,1
"RET","RET",0.092,1
"AURKC","AURKC",0.093,1
"MAPK10","MAPK10",0.093,1
"YES1","YES1",0.099,1
"ABL1","ABL1",0.102,1
"EPHA2","EPHA2",0.11,1
"MAPK14","MAPK14",0.11,1
"DDR1","DDR1",0.111,1
"CCND2","CCND2",0.113,1
"CCND3","CCND3",0.113,1
"NEK2","NEK2",0.113,1
"FLT1","FLT1",0.114,1
"PDGFRB","PDGFRB",0.114,1
"ADORA3","ADORA3",0.119,1
"PIK3CA","PIK3CA",0.119,1
"MYLK","MYLK",0.13,1
"ATP1A1","ATP1A1",0.133,1
"ATP1A2","ATP1A2",0.133,1
"ATP1A3","ATP1A3",0.133,1
"ATP1A4","ATP1A4",0.133,1
"ATP1B1","ATP1B1",0.133,1
"ATP1B2","ATP1B2",0.133,1
"ATP1B3","ATP1B3",0.133,1
"FXYD2","FXYD2",0.133,1
"RORC","RORC",0.133,1
"LRRK2","LRRK2",0.134,1
"PAK4","PAK4",0.134,1
"PRKAA1","PRKAA1",0.134,1
"GABRA1","GABRA1",0.135,1
"GABRA2","GABRA2",0.135,1
"GABRA3","GABRA3",0.135,1
"GABRA5","GABRA5",0.135,1
