"","target","p","padj"
"DDR2","DDR2",0.005,1
"NCOR2","NCOR2",0.007,1
"PIK3CA","PIK3CA",0.015,1
"PIK3CB","PIK3CB",0.017,1
"NTRK3","NTRK3",0.028,1
"TYRO3","TYRO3",0.028,1
"KIT","KIT",0.03,1
"BCR","BCR",0.031,1
"MAPK8","MAPK8",0.031,1
"NFKB1","NFKB1",0.033,1
"NFKB2","NFKB2",0.033,1
"RELA","RELA",0.033,1
"ROS1","ROS1",0.033,1
"MAPK13","MAPK13",0.038,1
"TAOK1","TAOK1",0.04,1
"PDGFRA","PDGFRA",0.044,1
"BTK","BTK",0.046,1
"EGFR","EGFR",0.046,1
"FGFR1","FGFR1",0.049,1
"HDAC1","HDAC1",0.05,1
"HDAC10","HDAC10",0.05,1
"HDAC11","HDAC11",0.05,1
"HDAC2","HDAC2",0.05,1
"HDAC3","HDAC3",0.05,1
"HDAC4","HDAC4",0.05,1
"HDAC5","HDAC5",0.05,1
"HDAC6","HDAC6",0.05,1
"HDAC7","HDAC7",0.05,1
"HDAC8","HDAC8",0.05,1
"HDAC9","HDAC9",0.05,1
"PIK3CD","PIK3CD",0.052,1
"PIK3CG","PIK3CG",0.052,1
"MAPK9","MAPK9",0.057,1
"FYN","FYN",0.059,1
"EDNRA","EDNRA",0.074,1
"PLK3","PLK3",0.076,1
"MAP2K1","MAP2K1",0.082,1
"TRAP1","TRAP1",0.082,1
"CSK","CSK",0.084,1
"RET","RET",0.085,1
"EPHA2","EPHA2",0.087,1
"MAP4K4","MAP4K4",0.089,1
"PTGS2","PTGS2",0.09,1
"NEK2","NEK2",0.091,1
"MYLK","MYLK",0.093,1
"ITK","ITK",0.094,1
"GABRA1","GABRA1",0.095,1
"GABRA2","GABRA2",0.095,1
"GABRA3","GABRA3",0.095,1
"GABRA5","GABRA5",0.095,1
"GABRB3","GABRB3",0.095,1
"GABRG2","GABRG2",0.095,1
"LCK","LCK",0.095,1
"ABL1","ABL1",0.096,1
"LIMK1","LIMK1",0.097,1
"ALK","ALK",0.098,1
"AURKC","AURKC",0.1,1
"CLK4","CLK4",0.1,1
"KDM4DL","KDM4DL",0.102,1
"NTRK1","NTRK1",0.102,1
"LRRK2","LRRK2",0.103,1
"PAK4","PAK4",0.103,1
"PRKAA1","PRKAA1",0.103,1
"MAPK12","MAPK12",0.104,1
"PDGFRB","PDGFRB",0.11,1
"SLCO4C1","SLCO4C1",0.11,1
"APAF1","APAF1",0.112,1
"MST1R","MST1R",0.113,1
