"","target","p","padj"
"FLT4","FLT4",0.402,1
"EPHB4","EPHB4",0.408,1
"SLK","SLK",0.408,1
"TOP2B","TOP2B",0.414,1
"ADRB1","ADRB1",0.415,1
"BDKRB2","BDKRB2",0.415,1
"MC3R","MC3R",0.415,1
"MC4R","MC4R",0.415,1
"MC5R","MC5R",0.415,1
"CCNA2","CCNA2",0.421,1
"PRKD3","PRKD3",0.422,1
"PTGS2","PTGS2",0.425,1
"CASP1","CASP1",0.431,1
"FGFR2","FGFR2",0.438,1
"ADRA1B","ADRA1B",0.442,1
"PRKCZ","PRKCZ",0.443,1
"DRD2","DRD2",0.452,1
"CDK2","CDK2",0.454,1
"SLC6A4","SLC6A4",0.454,1
"CHRM2","CHRM2",0.455,1
"ABCB1","ABCB1",0.459,1
"MAPK12","MAPK12",0.461,1
"ADCY1","ADCY1",0.464,1
"ADRA2B","ADRA2B",0.475,1
"TUBA1A","TUBA1A",0.476,1
"TUBA1B","TUBA1B",0.476,1
"TUBA1C","TUBA1C",0.476,1
"TUBA3C","TUBA3C",0.476,1
"TUBA3D","TUBA3D",0.476,1
"TUBA3E","TUBA3E",0.476,1
"TUBA4A","TUBA4A",0.476,1
"TUBB","TUBB",0.476,1
"TUBB1","TUBB1",0.476,1
"TUBB2A","TUBB2A",0.476,1
"TUBB2B","TUBB2B",0.476,1
"TUBB2C","TUBB2C",0.476,1
"TUBB3","TUBB3",0.476,1
"TUBB4","TUBB4",0.476,1
"TUBB6","TUBB6",0.476,1
"TUBB8","TUBB8",0.476,1
"SIRT1","SIRT1",0.48,1
"SIRT2","SIRT2",0.48,1
"DRD4","DRD4",0.481,1
"CAMK2A","CAMK2A",0.483,1
"CAMK2B","CAMK2B",0.492,1
"MAPK11","MAPK11",0.493,1
"HRH3","HRH3",0.495,1
"HSD17B1","HSD17B1",0.495,1
"EBP","EBP",0.501,1
"KCNH2","KCNH2",0.501,1
"CDK5","CDK5",0.504,1
"MMP1","MMP1",0.504,1
"TEK","TEK",0.512,1
"SLCO1B1","SLCO1B1",0.513,1
"DYRK1A","DYRK1A",0.521,1
"AKR1B1","AKR1B1",0.524,1
"AKT1","AKT1",0.524,1
"ALOX12","ALOX12",0.524,1
"ALOX15","ALOX15",0.524,1
"AMY1A","AMY1A",0.524,1
"AMY1B","AMY1B",0.524,1
"AMY1C","AMY1C",0.524,1
"AMY2A","AMY2A",0.524,1
"AVPR2","AVPR2",0.524,1
"CXCR1","CXCR1",0.524,1
"CYP19A1","CYP19A1",0.524,1
"CYP1A1","CYP1A1",0.524,1
"CYP1B1","CYP1B1",0.524,1
"GLO1","GLO1",0.524,1
"GPR35","GPR35",0.524,1
"HSD17B2","HSD17B2",0.524,1
"NOX4","NOX4",0.524,1
"PKN1","PKN1",0.524,1
"PLA2G1B","PLA2G1B",0.524,1
"PLAU","PLAU",0.524,1
"PTPN1","PTPN1",0.524,1
"XDH","XDH",0.524,1
"ADORA3","ADORA3",0.527,1
"MINK1","MINK1",0.528,1
"DPP4","DPP4",0.529,1
"ESR2","ESR2",0.53,1
"CDK4","CDK4",0.532,1
"ACHE","ACHE",0.536,1
"CSNK1A1","CSNK1A1",0.537,1
"FABP2","FABP2",0.537,1
"GPBAR1","GPBAR1",0.537,1
"SOAT1","SOAT1",0.537,1
"CA13","CA13",0.546,1
"TOP1","TOP1",0.548,1
"ABCG2","ABCG2",0.552,1
"CHRM1","CHRM1",0.555,1
"HTR7","HTR7",0.558,1
"TNKS","TNKS",0.572,1
"TGFBR1","TGFBR1",0.573,1
"MAPK10","MAPK10",0.576,1
"HCK","HCK",0.583,1
"CDK9","CDK9",0.585,1
"GRM5","GRM5",0.589,1
"FER","FER",0.594,1
"ADRA2A","ADRA2A",0.595,1
"IRAK1","IRAK1",0.596,1
"PRKACA","PRKACA",0.596,1
"SRPK1","SRPK1",0.596,1
"STK17A","STK17A",0.596,1
"TBK1","TBK1",0.596,1
"TSSK1B","TSSK1B",0.596,1
"ADRA1A","ADRA1A",0.601,1
"CTSB","CTSB",0.603,1
"CTSK","CTSK",0.603,1
"MAPK14","MAPK14",0.604,1
"CCNE1","CCNE1",0.609,1
"CCNH","CCNH",0.609,1
"HTR6","HTR6",0.609,1
"NISCH","NISCH",0.612,1
"MKNK2","MKNK2",0.621,1
"CDC42BPA","CDC42BPA",0.628,1
"LTA4H","LTA4H",0.632,1
"CSNK1D","CSNK1D",0.634,1
"DRD1","DRD1",0.634,1
"CDK8","CDK8",0.639,1
"FGFR4","FGFR4",0.639,1
"TNF","TNF",0.639,1
"","",0.641,1
"CHEK2","CHEK2",0.644,1
"PRNP","PRNP",0.662,1
"HTR1D","HTR1D",0.664,1
"SLC6A2","SLC6A2",0.665,1
"OPRK1","OPRK1",0.666,1
"HTR1A","HTR1A",0.672,1
"EPHB2","EPHB2",0.674,1
"RIPK2","RIPK2",0.674,1
"HTR2C","HTR2C",0.676,1
"BCHE","BCHE",0.685,1
"STK3","STK3",0.685,1
"PARP1","PARP1",0.687,1
"CYP1A2","CYP1A2",0.691,1
"KARS","KARS",0.692,1
"MAPK1","MAPK1",0.692,1
"ALOX5","ALOX5",0.694,1
"ADRA2C","ADRA2C",0.711,1
"CHRNA3","CHRNA3",0.716,1
"CHRNA4","CHRNA4",0.716,1
"CHRNA7","CHRNA7",0.716,1
"CHRNB2","CHRNB2",0.716,1
"TLR9","TLR9",0.717,1
"CAMK2D","CAMK2D",0.72,1
"CAMK2G","CAMK2G",0.72,1
"OPRD1","OPRD1",0.72,1
"OPRL1","OPRL1",0.72,1
"OPRM1","OPRM1",0.72,1
"DHCR7","DHCR7",0.721,1
"BACE1","BACE1",0.723,1
"CCNB1","CCNB1",0.749,1
"HTR2A","HTR2A",0.749,1
"HRH1","HRH1",0.75,1
"HTR2B","HTR2B",0.751,1
"RXRA","RXRA",0.754,1
"MTOR","MTOR",0.757,1
"FKBP1A","FKBP1A",0.76,1
"CCNA1","CCNA1",0.761,1
"SLC22A1","SLC22A1",0.762,1
"MAOB","MAOB",0.765,1
"CHRM3","CHRM3",0.769,1
"CHRM5","CHRM5",0.769,1
"PRKD2","PRKD2",0.769,1
"HTR3A","HTR3A",0.778,1
"CSNK2A1","CSNK2A1",0.779,1
"MAOA","MAOA",0.78,1
"CYP2D6","CYP2D6",0.782,1
"HTR3B","HTR3B",0.782,1
"HTR3C","HTR3C",0.782,1
"HTR3D","HTR3D",0.782,1
"HTR3E","HTR3E",0.782,1
"CHRM4","CHRM4",0.785,1
"IDO1","IDO1",0.786,1
"CYP2C19","CYP2C19",0.787,1
"CDK5R1","CDK5R1",0.789,1
"CCNT1","CCNT1",0.79,1
"NOX1","NOX1",0.794,1
"ABCB11","ABCB11",0.798,1
"ADRA1D","ADRA1D",0.803,1
"DRD3","DRD3",0.803,1
"ESRRG","ESRRG",0.805,1
"PLD1","PLD1",0.805,1
"PLD2","PLD2",0.805,1
"JAK1","JAK1",0.818,1
"TACR1","TACR1",0.82,1
"CNR1","CNR1",0.825,1
"EBPL","EBPL",0.825,1
"FRK","FRK",0.825,1
"SLC47A2","SLC47A2",0.828,1
"ADORA1","ADORA1",0.831,1
"ADORA2A","ADORA2A",0.831,1
"PRKCQ","PRKCQ",0.831,1
"SYK","SYK",0.836,1
"SSTR4","SSTR4",0.842,1
"CCNE2","CCNE2",0.844,1
"PRKCI","PRKCI",0.844,1
"PRKD1","PRKD1",0.844,1
"HRH2","HRH2",0.846,1
"RARA","RARA",0.849,1
"RARB","RARB",0.849,1
"RARG","RARG",0.849,1
"PDE2A","PDE2A",0.858,1
"SLC29A1","SLC29A1",0.858,1
"MAPK3","MAPK3",0.86,1
"SIGMAR1","SIGMAR1",0.861,1
"CYP2B6","CYP2B6",0.866,1
"CYP2B7P1","CYP2B7P1",0.866,1
"GSK3B","GSK3B",0.868,1
"HIF1A","HIF1A",0.869,1
"RAF1","RAF1",0.869,1
"PRKCA","PRKCA",0.871,1
"PRKCE","PRKCE",0.871,1
"PRKCH","PRKCH",0.871,1
"CYP3A4","CYP3A4",0.872,1
"ADRB3","ADRB3",0.884,1
"CYP2C9","CYP2C9",0.891,1
"TBXAS1","TBXAS1",0.898,1
"PTK2B","PTK2B",0.899,1
"CDK1","CDK1",0.9,1
"PRKCD","PRKCD",0.906,1
"CCNB2","CCNB2",0.907,1
"CCNB3","CCNB3",0.907,1
"PRKCB","PRKCB",0.914,1
"ABCC2","ABCC2",0.932,1
"SLCO2B1","SLCO2B1",0.932,1
"SLC47A1","SLC47A1",0.938,1
"SCN1A","SCN1A",0.939,1
"SCN2A","SCN2A",0.939,1
"SCN3A","SCN3A",0.939,1
"PIM1","PIM1",0.94,1
"PTGS1","PTGS1",0.945,1
"CNR2","CNR2",0.946,1
"TRPV1","TRPV1",0.946,1
"HMGCR","HMGCR",0.952,1
"GSK3A","GSK3A",0.953,1
"ADRB2","ADRB2",0.959,1
"MAPKAPK2","MAPKAPK2",0.959,1
"PRKCG","PRKCG",0.964,1
"PDE5A","PDE5A",0.97,1
"SLC22A2","SLC22A2",0.972,1
"PDE3B","PDE3B",0.975,1
"PDE1A","PDE1A",0.984,1
"PDE1B","PDE1B",0.984,1
"PDE1C","PDE1C",0.984,1
"PDE3A","PDE3A",0.984,1
"CAMKK2","CAMKK2",0.987,1
"CSNK1G1","CSNK1G1",0.987,1
"CSNK1G2","CSNK1G2",0.987,1
"SGK2","SGK2",0.987,1
"ABCC4","ABCC4",0.989,1
"PDE10A","PDE10A",0.989,1
"PDE11A","PDE11A",0.989,1
"PDE4A","PDE4A",0.989,1
"PDE4B","PDE4B",0.989,1
"PDE4C","PDE4C",0.989,1
"PDE4D","PDE4D",0.989,1
"PDE6A","PDE6A",0.989,1
"PDE6B","PDE6B",0.989,1
"PDE6C","PDE6C",0.989,1
"PDE6D","PDE6D",0.989,1
"PDE6G","PDE6G",0.989,1
"PDE6H","PDE6H",0.989,1
"PDE7A","PDE7A",0.989,1
"BRAF","BRAF",0.992,1
"HIPK4","HIPK4",0.997,1
