"","target","p","padj"
"KIT","KIT",0.003,1
"NCOR2","NCOR2",0.005,1
"PDGFRA","PDGFRA",0.006,1
"TAOK1","TAOK1",0.011,1
"ABL1","ABL1",0.018,1
"PIK3CB","PIK3CB",0.022,1
"DDR2","DDR2",0.025,1
"BCR","BCR",0.027,1
"NEK2","NEK2",0.028,1
"PIK3CD","PIK3CD",0.028,1
"PIK3CG","PIK3CG",0.028,1
"BTK","BTK",0.031,1
"ROS1","ROS1",0.031,1
"TRAP1","TRAP1",0.034,1
"LIMK1","LIMK1",0.035,1
"FLT3","FLT3",0.037,1
"LRRK2","LRRK2",0.037,1
"PAK4","PAK4",0.037,1
"PRKAA1","PRKAA1",0.037,1
"MST1R","MST1R",0.038,1
"ITK","ITK",0.04,1
"CLK4","CLK4",0.045,1
"MAP4K5","MAP4K5",0.045,1
"MAP2K1","MAP2K1",0.046,1
"DAPK3","DAPK3",0.048,1
"PLK3","PLK3",0.05,1
"ALK","ALK",0.057,1
"MAPK8","MAPK8",0.058,1
"NR0B1","NR0B1",0.061,1
"PIK3R1","PIK3R1",0.061,1
"AURKA","AURKA",0.063,1
"PRKDC","PRKDC",0.065,1
"ROCK2","ROCK2",0.065,1
"DYRK1B","DYRK1B",0.072,1
"CSF1R","CSF1R",0.075,1
"FGFR1","FGFR1",0.08,1
"BMX","BMX",0.081,1
"ACVR1","ACVR1",0.085,1
"KDM4DL","KDM4DL",0.088,1
"MCL1","MCL1",0.088,1
"AURKC","AURKC",0.089,1
"EDNRA","EDNRA",0.098,1
"ESRRB","ESRRB",0.098,1
"GPER","GPER",0.098,1
"SHBG","SHBG",0.098,1
"PIK3CA","PIK3CA",0.099,1
"KDR","KDR",0.1,1
"CSK","CSK",0.107,1
"MELK","MELK",0.11,1
"PAK1","PAK1",0.11,1
"HDAC1","HDAC1",0.114,1
"HDAC10","HDAC10",0.114,1
"HDAC11","HDAC11",0.114,1
"HDAC2","HDAC2",0.114,1
"HDAC3","HDAC3",0.114,1
"HDAC4","HDAC4",0.114,1
"HDAC5","HDAC5",0.114,1
"HDAC6","HDAC6",0.114,1
"HDAC7","HDAC7",0.114,1
"HDAC8","HDAC8",0.114,1
"HDAC9","HDAC9",0.114,1
"FGFR3","FGFR3",0.115,1
"BLK","BLK",0.116,1
"GABRA1","GABRA1",0.116,1
"GABRA2","GABRA2",0.116,1
"GABRA3","GABRA3",0.116,1
"GABRA5","GABRA5",0.116,1
"GABRB3","GABRB3",0.116,1
"GABRG2","GABRG2",0.116,1
"PIM3","PIM3",0.119,1
"AOX1","AOX1",0.121,1
"CCR2","CCR2",0.124,1
"CYP2C8","CYP2C8",0.124,1
"THRA","THRA",0.124,1
"THRB","THRB",0.124,1
"MAP2K2","MAP2K2",0.128,1
"APAF1","APAF1",0.131,1
"FYN","FYN",0.133,1
"IRAK4","IRAK4",0.133,1
"XBP1","XBP1",0.134,1
"SLCO1B3","SLCO1B3",0.14,1
"BRSK1","BRSK1",0.141,1
"RPS6KB1","RPS6KB1",0.141,1
"TNK2","TNK2",0.142,1
"SLCO4C1","SLCO4C1",0.146,1
"SRC","SRC",0.146,1
"AXL","AXL",0.149,1
"LTK","LTK",0.15,1
"NR3C1","NR3C1",0.155,1
"BCL2","BCL2",0.158,1
"BCL2L1","BCL2L1",0.158,1
"MAP3K10","MAP3K10",0.158,1
"ZAK","ZAK",0.158,1
"DDR1","DDR1",0.161,1
"JAK3","JAK3",0.161,1
"CLK2","CLK2",0.164,1
"RPS6KA3","RPS6KA3",0.164,1
"NTRK3","NTRK3",0.166,1
"TYRO3","TYRO3",0.166,1
"RET","RET",0.167,1
"HSP90AA1","HSP90AA1",0.168,1
"HSP90AB1","HSP90AB1",0.168,1
"MARK4","MARK4",0.171,1
"EGFR","EGFR",0.179,1
"MAP4K2","MAP4K2",0.183,1
"ERBB2","ERBB2",0.185,1
"MMP14","MMP14",0.188,1
"MMP8","MMP8",0.188,1
"F2","F2",0.189,1
"PDPK1","PDPK1",0.205,1
"MAP4K4","MAP4K4",0.209,1
"PRKX","PRKX",0.215,1
"MAPK9","MAPK9",0.216,1
"SCN9A","SCN9A",0.216,1
"LCK","LCK",0.223,1
"NTRK2","NTRK2",0.225,1
"CCND1","CCND1",0.226,1
"CCR4","CCR4",0.226,1
"PDGFRB","PDGFRB",0.23,1
"PLK4","PLK4",0.232,1
"SLC22A11","SLC22A11",0.233,1
"SLC22A6","SLC22A6",0.233,1
"SLC22A8","SLC22A8",0.233,1
"SRMS","SRMS",0.235,1
"ROCK1","ROCK1",0.241,1
"EPHA2","EPHA2",0.243,1
"ADORA2B","ADORA2B",0.245,1
"PTK6","PTK6",0.247,1
"NFKB1","NFKB1",0.254,1
"NFKB2","NFKB2",0.254,1
"RELA","RELA",0.254,1
"TYK2","TYK2",0.254,1
"INSR","INSR",0.26,1
"CACNA1B","CACNA1B",0.264,1
"NR1H4","NR1H4",0.265,1
"NR1I2","NR1I2",0.265,1
"HRH4","HRH4",0.266,1
"HTR4","HTR4",0.268,1
"PGR","PGR",0.269,1
"SLC6A3","SLC6A3",0.27,1
"PSMB1","PSMB1",0.271,1
"PSMB2","PSMB2",0.271,1
"PSMB5","PSMB5",0.271,1
"MMP12","MMP12",0.273,1
"MMP13","MMP13",0.273,1
"MMP3","MMP3",0.273,1
"MMP9","MMP9",0.273,1
"PARP2","PARP2",0.278,1
"TNKS2","TNKS2",0.278,1
"STAT3","STAT3",0.279,1
"AR","AR",0.283,1
"ABCC1","ABCC1",0.288,1
"MARK3","MARK3",0.288,1
"NTRK1","NTRK1",0.289,1
"TOP2A","TOP2A",0.289,1
"CA3","CA3",0.29,1
"F3","F3",0.296,1
"MAPK13","MAPK13",0.296,1
"NEK4","NEK4",0.296,1
"PHKG2","PHKG2",0.296,1
"PRKG1","PRKG1",0.296,1
"ZAP70","ZAP70",0.296,1
"AURKB","AURKB",0.304,1
"CDK7","CDK7",0.306,1
"IGF1R","IGF1R",0.307,1
"MYLK","MYLK",0.307,1
"PKN2","PKN2",0.312,1
"HIPK2","HIPK2",0.314,1
"PLK1","PLK1",0.314,1
"JAK2","JAK2",0.316,1
"SIK2","SIK2",0.319,1
"ESRRA","ESRRA",0.32,1
"CCND2","CCND2",0.322,1
"CCND3","CCND3",0.322,1
"PI4KB","PI4KB",0.326,1
"PIK3C2B","PIK3C2B",0.326,1
"PIK3C3","PIK3C3",0.326,1
"ESR1","ESR1",0.33,1
"HTR5A","HTR5A",0.33,1
"DYRK3","DYRK3",0.331,1
"FES","FES",0.331,1
"TEC","TEC",0.331,1
"TXK","TXK",0.331,1
"MET","MET",0.337,1
"TACR2","TACR2",0.339,1
"GRM1","GRM1",0.341,1
"NR3C2","NR3C2",0.346,1
"LYN","LYN",0.352,1
"SLC22A3","SLC22A3",0.365,1
"CA1","CA1",0.372,1
"CA12","CA12",0.372,1
"CA14","CA14",0.372,1
"CA2","CA2",0.372,1
"CA4","CA4",0.372,1
"CA5A","CA5A",0.372,1
"CA5B","CA5B",0.372,1
"CA6","CA6",0.372,1
"CA7","CA7",0.372,1
"CA9","CA9",0.372,1
"ERBB4","ERBB4",0.372,1
"EIF2AK2","EIF2AK2",0.38,1
"CHEK1","CHEK1",0.386,1
"MMP2","MMP2",0.387,1
"GPR55","GPR55",0.388,1
"SMO","SMO",0.388,1
"PTK2","PTK2",0.389,1
"FLT1","FLT1",0.39,1
"GRK5","GRK5",0.391,1
"ATP1A1","ATP1A1",0.392,1
"ATP1A2","ATP1A2",0.392,1
"ATP1A3","ATP1A3",0.392,1
"ATP1A4","ATP1A4",0.392,1
"ATP1B1","ATP1B1",0.392,1
"ATP1B2","ATP1B2",0.392,1
"ATP1B3","ATP1B3",0.392,1
"CDK6","CDK6",0.392,1
"FXYD2","FXYD2",0.392,1
"RORC","RORC",0.392,1
"MARK2","MARK2",0.395,1
"YES1","YES1",0.396,1
