"","target","p","padj"
"RIPK2","RIPK2",0.309,1
"NOX1","NOX1",0.314,1
"BMX","BMX",0.319,1
"HSD17B1","HSD17B1",0.321,1
"F2","F2",0.325,1
"PTK2B","PTK2B",0.332,1
"ADRB3","ADRB3",0.333,1
"ACVR1","ACVR1",0.335,1
"FER","FER",0.337,1
"CCND2","CCND2",0.341,1
"CCND3","CCND3",0.341,1
"GRK5","GRK5",0.341,1
"PIK3CD","PIK3CD",0.341,1
"PIK3CG","PIK3CG",0.341,1
"IRAK4","IRAK4",0.342,1
"ROCK1","ROCK1",0.342,1
"CDK8","CDK8",0.343,1
"FGFR4","FGFR4",0.343,1
"JAK3","JAK3",0.343,1
"PTGS2","PTGS2",0.343,1
"TNF","TNF",0.343,1
"PRKDC","PRKDC",0.346,1
"CAMKK2","CAMKK2",0.347,1
"CSNK1G1","CSNK1G1",0.347,1
"CSNK1G2","CSNK1G2",0.347,1
"SGK2","SGK2",0.347,1
"ESR1","ESR1",0.349,1
"CHEK2","CHEK2",0.355,1
"TACR2","TACR2",0.356,1
"HIPK2","HIPK2",0.357,1
"NTRK2","NTRK2",0.358,1
"YES1","YES1",0.358,1
"RARA","RARA",0.36,1
"RARB","RARB",0.36,1
"RARG","RARG",0.36,1
"MARK3","MARK3",0.361,1
"ABCC4","ABCC4",0.362,1
"PDE10A","PDE10A",0.362,1
"PDE11A","PDE11A",0.362,1
"PDE4A","PDE4A",0.362,1
"PDE4B","PDE4B",0.362,1
"PDE4C","PDE4C",0.362,1
"PDE4D","PDE4D",0.362,1
"PDE6A","PDE6A",0.362,1
"PDE6B","PDE6B",0.362,1
"PDE6C","PDE6C",0.362,1
"PDE6D","PDE6D",0.362,1
"PDE6G","PDE6G",0.362,1
"PDE6H","PDE6H",0.362,1
"PDE7A","PDE7A",0.362,1
"CSNK1A1","CSNK1A1",0.364,1
"PLK1","PLK1",0.365,1
"PDGFRB","PDGFRB",0.366,1
"TNK2","TNK2",0.366,1
"PSMB1","PSMB1",0.369,1
"PSMB2","PSMB2",0.369,1
"PSMB5","PSMB5",0.369,1
"DYRK1A","DYRK1A",0.374,1
"MMP12","MMP12",0.379,1
"MMP13","MMP13",0.379,1
"MMP3","MMP3",0.379,1
"MMP9","MMP9",0.379,1
"ABL1","ABL1",0.385,1
"MET","MET",0.387,1
"PIM3","PIM3",0.388,1
"AURKB","AURKB",0.397,1
"AR","AR",0.4,1
"SLC22A2","SLC22A2",0.401,1
"BCL2","BCL2",0.409,1
"BCL2L1","BCL2L1",0.409,1
"PLK4","PLK4",0.411,1
"APAF1","APAF1",0.412,1
"SLCO1B1","SLCO1B1",0.433,1
"TYK2","TYK2",0.435,1
"NISCH","NISCH",0.445,1
"ATP1A1","ATP1A1",0.447,1
"ATP1A2","ATP1A2",0.447,1
"ATP1A3","ATP1A3",0.447,1
"ATP1A4","ATP1A4",0.447,1
"ATP1B1","ATP1B1",0.447,1
"ATP1B2","ATP1B2",0.447,1
"ATP1B3","ATP1B3",0.447,1
"FXYD2","FXYD2",0.447,1
"RORC","RORC",0.447,1
"HTR3A","HTR3A",0.457,1
"SIRT1","SIRT1",0.458,1
"SIRT2","SIRT2",0.458,1
"IDO1","IDO1",0.462,1
"TBXAS1","TBXAS1",0.473,1
"ALOX5","ALOX5",0.474,1
"EBPL","EBPL",0.476,1
"CSNK2A1","CSNK2A1",0.48,1
"PKN2","PKN2",0.481,1
"MTOR","MTOR",0.483,1
"FRK","FRK",0.493,1
"SLC6A3","SLC6A3",0.495,1
"MAPK1","MAPK1",0.496,1
"HTR1D","HTR1D",0.499,1
"NR1H4","NR1H4",0.499,1
"NR1I2","NR1I2",0.499,1
"ACHE","ACHE",0.519,1
"PRKD3","PRKD3",0.521,1
"MMP2","MMP2",0.523,1
"ESRRG","ESRRG",0.527,1
"PLD1","PLD1",0.527,1
"PLD2","PLD2",0.527,1
"XBP1","XBP1",0.528,1
"PIK3CA","PIK3CA",0.537,1
"AOX1","AOX1",0.539,1
"SLCO4C1","SLCO4C1",0.542,1
"TLR9","TLR9",0.545,1
"PIK3R1","PIK3R1",0.546,1
"CYP1A2","CYP1A2",0.548,1
"TACR1","TACR1",0.549,1
"FLT3","FLT3",0.554,1
"OPRD1","OPRD1",0.555,1
"OPRM1","OPRM1",0.555,1
"CYP2B6","CYP2B6",0.565,1
"CYP2B7P1","CYP2B7P1",0.565,1
"CDK6","CDK6",0.566,1
"TUBA1A","TUBA1A",0.568,1
"TUBA1B","TUBA1B",0.568,1
"TUBA1C","TUBA1C",0.568,1
"TUBA3C","TUBA3C",0.568,1
"TUBA3D","TUBA3D",0.568,1
"TUBA3E","TUBA3E",0.568,1
"TUBA4A","TUBA4A",0.568,1
"TUBB","TUBB",0.568,1
"TUBB1","TUBB1",0.568,1
"TUBB2A","TUBB2A",0.568,1
"TUBB2B","TUBB2B",0.568,1
"TUBB2C","TUBB2C",0.568,1
"TUBB3","TUBB3",0.568,1
"TUBB4","TUBB4",0.568,1
"TUBB6","TUBB6",0.568,1
"TUBB8","TUBB8",0.568,1
"HIPK4","HIPK4",0.57,1
"GABRA1","GABRA1",0.575,1
"GABRA2","GABRA2",0.575,1
"GABRA3","GABRA3",0.575,1
"GABRA5","GABRA5",0.575,1
"GABRB3","GABRB3",0.575,1
"GABRG2","GABRG2",0.575,1
"DYRK3","DYRK3",0.577,1
"FES","FES",0.577,1
"TEC","TEC",0.577,1
"TXK","TXK",0.577,1
"","",0.587,1
"NR3C1","NR3C1",0.588,1
"AXL","AXL",0.59,1
"CSF1R","CSF1R",0.592,1
"FABP2","FABP2",0.594,1
"GPBAR1","GPBAR1",0.594,1
"MAOA","MAOA",0.594,1
"SOAT1","SOAT1",0.594,1
"TEK","TEK",0.595,1
"CCND1","CCND1",0.605,1
"CACNA1B","CACNA1B",0.606,1
"CAMK2D","CAMK2D",0.606,1
"CAMK2G","CAMK2G",0.606,1
"PRKCB","PRKCB",0.607,1
"RAF1","RAF1",0.609,1
"FKBP1A","FKBP1A",0.612,1
"INSR","INSR",0.613,1
"OPRL1","OPRL1",0.616,1
"BRAF","BRAF",0.629,1
"ABCC2","ABCC2",0.632,1
"SLCO2B1","SLCO2B1",0.632,1
"PRKCG","PRKCG",0.637,1
"CA13","CA13",0.641,1
"STAT3","STAT3",0.645,1
"CDK9","CDK9",0.646,1
"ADRA2A","ADRA2A",0.65,1
"FYN","FYN",0.655,1
"IRAK1","IRAK1",0.657,1
"PRKACA","PRKACA",0.657,1
"SRPK1","SRPK1",0.657,1
"STK17A","STK17A",0.657,1
"TBK1","TBK1",0.657,1
"TSSK1B","TSSK1B",0.657,1
"PDE3B","PDE3B",0.658,1
"EGFR","EGFR",0.66,1
"ABCB11","ABCB11",0.661,1
"JAK2","JAK2",0.661,1
"SLC22A1","SLC22A1",0.663,1
"HTR3B","HTR3B",0.68,1
"HTR3C","HTR3C",0.68,1
"HTR3D","HTR3D",0.68,1
"HTR3E","HTR3E",0.68,1
"SLC47A1","SLC47A1",0.68,1
"DDR1","DDR1",0.693,1
"MCL1","MCL1",0.697,1
"NR3C2","NR3C2",0.702,1
"ERBB4","ERBB4",0.703,1
"CAMK2A","CAMK2A",0.704,1
"CDK7","CDK7",0.705,1
"CCR2","CCR2",0.709,1
"CYP2C8","CYP2C8",0.709,1
"THRA","THRA",0.709,1
"THRB","THRB",0.709,1
"STK3","STK3",0.71,1
"CHEK1","CHEK1",0.711,1
"PRKCD","PRKCD",0.711,1
"ADRA1A","ADRA1A",0.718,1
"KARS","KARS",0.72,1
"TOP1","TOP1",0.723,1
"AKR1B1","AKR1B1",0.726,1
"AKT1","AKT1",0.726,1
"ALOX12","ALOX12",0.726,1
"ALOX15","ALOX15",0.726,1
"AMY1A","AMY1A",0.726,1
"AMY1B","AMY1B",0.726,1
"AMY1C","AMY1C",0.726,1
"AMY2A","AMY2A",0.726,1
"AVPR2","AVPR2",0.726,1
"CASP1","CASP1",0.726,1
"CXCR1","CXCR1",0.726,1
"CYP19A1","CYP19A1",0.726,1
"CYP1A1","CYP1A1",0.726,1
"CYP1B1","CYP1B1",0.726,1
"GLO1","GLO1",0.726,1
"GPR35","GPR35",0.726,1
"HSD17B2","HSD17B2",0.726,1
"NOX4","NOX4",0.726,1
"PKN1","PKN1",0.726,1
"PLA2G1B","PLA2G1B",0.726,1
"PLAU","PLAU",0.726,1
"PTPN1","PTPN1",0.726,1
"XDH","XDH",0.726,1
"OPRK1","OPRK1",0.729,1
"ADORA1","ADORA1",0.736,1
"ADORA2A","ADORA2A",0.736,1
"PRKCA","PRKCA",0.736,1
"PRKCE","PRKCE",0.736,1
"PRKCH","PRKCH",0.736,1
"EPHB4","EPHB4",0.737,1
"SLC6A4","SLC6A4",0.739,1
"CAMK2B","CAMK2B",0.743,1
"ERBB2","ERBB2",0.746,1
"PTK6","PTK6",0.747,1
"SSTR4","SSTR4",0.747,1
"DHCR7","DHCR7",0.763,1
"MAPKAPK2","MAPKAPK2",0.764,1
"SLC6A2","SLC6A2",0.765,1
"ADRB1","ADRB1",0.766,1
"BDKRB2","BDKRB2",0.766,1
"MC3R","MC3R",0.766,1
"MC4R","MC4R",0.766,1
"MC5R","MC5R",0.766,1
"ADRA1B","ADRA1B",0.767,1
"EDNRA","EDNRA",0.782,1
"HTR1A","HTR1A",0.782,1
"EBP","EBP",0.791,1
"SYK","SYK",0.792,1
"ABCB1","ABCB1",0.8,1
"CYP2C19","CYP2C19",0.803,1
"HTR7","HTR7",0.803,1
"ADORA2B","ADORA2B",0.806,1
"EIF2AK2","EIF2AK2",0.812,1
"CA3","CA3",0.814,1
"ADCY1","ADCY1",0.821,1
"SLC22A11","SLC22A11",0.826,1
"SLC22A6","SLC22A6",0.826,1
"SLC22A8","SLC22A8",0.826,1
"PDE1A","PDE1A",0.832,1
"PDE1B","PDE1B",0.832,1
"PDE1C","PDE1C",0.832,1
"PDE3A","PDE3A",0.832,1
"CTSB","CTSB",0.837,1
"CTSK","CTSK",0.837,1
"CYP3A4","CYP3A4",0.838,1
"CDC42BPA","CDC42BPA",0.862,1
"CCNA2","CCNA2",0.865,1
"ADRA2B","ADRA2B",0.869,1
"JAK1","JAK1",0.869,1
"PRKCQ","PRKCQ",0.871,1
"PGR","PGR",0.872,1
"SRMS","SRMS",0.873,1
"CA1","CA1",0.874,1
"CA12","CA12",0.874,1
"CA14","CA14",0.874,1
"CA2","CA2",0.874,1
"CA4","CA4",0.874,1
"CA5A","CA5A",0.874,1
"CA5B","CA5B",0.874,1
"CA6","CA6",0.874,1
"CA7","CA7",0.874,1
"CA9","CA9",0.874,1
"CCNE2","CCNE2",0.875,1
"HMGCR","HMGCR",0.875,1
"PRKCI","PRKCI",0.875,1
"PRKD1","PRKD1",0.875,1
"CCR4","CCR4",0.879,1
"MKNK2","MKNK2",0.879,1
"SCN1A","SCN1A",0.88,1
"SCN2A","SCN2A",0.88,1
"SCN3A","SCN3A",0.88,1
"CDK2","CDK2",0.881,1
"HIF1A","HIF1A",0.881,1
"ADRA2C","ADRA2C",0.882,1
"HRH4","HRH4",0.883,1
"SLC47A2","SLC47A2",0.884,1
"CDK5","CDK5",0.893,1
"DRD1","DRD1",0.907,1
"MAOB","MAOB",0.907,1
"PRNP","PRNP",0.912,1
"CDK4","CDK4",0.915,1
"CYP2C9","CYP2C9",0.917,1
"DRD4","DRD4",0.918,1
"HTR2B","HTR2B",0.919,1
"PI4KB","PI4KB",0.92,1
"PIK3C2B","PIK3C2B",0.92,1
"PIK3C3","PIK3C3",0.92,1
"DRD2","DRD2",0.923,1
"HTR5A","HTR5A",0.925,1
"BCHE","BCHE",0.927,1
"CHRM1","CHRM1",0.942,1
"NEK4","NEK4",0.947,1
"PHKG2","PHKG2",0.947,1
"PIM1","PIM1",0.947,1
"PRKG1","PRKG1",0.947,1
"ZAP70","ZAP70",0.947,1
"BACE1","BACE1",0.948,1
"CHRM3","CHRM3",0.951,1
"CHRM5","CHRM5",0.951,1
"HTR2A","HTR2A",0.953,1
"CCNE1","CCNE1",0.954,1
"CCNH","CCNH",0.954,1
"CHRM4","CHRM4",0.958,1
"GPR55","GPR55",0.958,1
"TOP2B","TOP2B",0.959,1
"GSK3A","GSK3A",0.961,1
"HRH2","HRH2",0.965,1
"CHRM2","CHRM2",0.968,1
"GSK3B","GSK3B",0.971,1
"ADRA1D","ADRA1D",0.973,1
"HTR2C","HTR2C",0.974,1
"ABCC1","ABCC1",0.979,1
"HTR6","HTR6",0.98,1
"CCNB2","CCNB2",0.981,1
"CCNB3","CCNB3",0.981,1
"CYP2D6","CYP2D6",0.981,1
"SIGMAR1","SIGMAR1",0.981,1
"HRH1","HRH1",0.984,1
"HRH3","HRH3",0.985,1
"TOP2A","TOP2A",0.988,1
"CDK5R1","CDK5R1",0.989,1
"DRD3","DRD3",0.991,1
"CCNT1","CCNT1",0.993,1
"CCNA1","CCNA1",0.994,1
"CCNB1","CCNB1",0.994,1
"KCNH2","KCNH2",0.997,1
"CDK1","CDK1",0.998,1
