"","target","p","padj"
"NCOR2","NCOR2",0.003,1
"ROS1","ROS1",0.005,1
"HSP90AA1","HSP90AA1",0.011,1
"HSP90AB1","HSP90AB1",0.011,1
"MYLK","MYLK",0.032,1
"TRAP1","TRAP1",0.033,1
"NTRK3","NTRK3",0.038,1
"TYRO3","TYRO3",0.038,1
"MAPK8","MAPK8",0.04,1
"TAOK1","TAOK1",0.041,1
"KIT","KIT",0.045,1
"MAP2K1","MAP2K1",0.046,1
"LTK","LTK",0.05,1
"PDGFRA","PDGFRA",0.05,1
"MAP4K4","MAP4K4",0.053,1
"MAPK9","MAPK9",0.054,1
"MAPK10","MAPK10",0.055,1
"MAP2K2","MAP2K2",0.06,1
"FLT4","FLT4",0.061,1
"MAPK11","MAPK11",0.062,1
"FGFR1","FGFR1",0.065,1
"LRRK2","LRRK2",0.066,1
"PAK4","PAK4",0.066,1
"PRKAA1","PRKAA1",0.066,1
"BLK","BLK",0.073,1
"EPHA2","EPHA2",0.073,1
"GRM5","GRM5",0.074,1
"MARK4","MARK4",0.074,1
"CNR1","CNR1",0.076,1
"PIK3CB","PIK3CB",0.079,1
"PLK3","PLK3",0.079,1
"KDM4DL","KDM4DL",0.085,1
"AURKC","AURKC",0.088,1
"PRKX","PRKX",0.09,1
"CSK","CSK",0.091,1
"ITK","ITK",0.091,1
"MAPK13","MAPK13",0.093,1
"MAPK12","MAPK12",0.094,1
"ESRRB","ESRRB",0.097,1
"GPER","GPER",0.097,1
"SHBG","SHBG",0.097,1
"MELK","MELK",0.098,1
"PAK1","PAK1",0.098,1
"PDE2A","PDE2A",0.099,1
"SLC29A1","SLC29A1",0.099,1
"SIK2","SIK2",0.1,1
"NFKB1","NFKB1",0.101,1
"NFKB2","NFKB2",0.101,1
"RELA","RELA",0.101,1
"HDAC1","HDAC1",0.102,1
"HDAC10","HDAC10",0.102,1
"HDAC11","HDAC11",0.102,1
"HDAC2","HDAC2",0.102,1
"HDAC3","HDAC3",0.102,1
"HDAC4","HDAC4",0.102,1
"HDAC5","HDAC5",0.102,1
"HDAC6","HDAC6",0.102,1
"HDAC7","HDAC7",0.102,1
"HDAC8","HDAC8",0.102,1
"HDAC9","HDAC9",0.102,1
"HTR4","HTR4",0.106,1
"MAPK14","MAPK14",0.107,1
"DDR2","DDR2",0.109,1
"MMP14","MMP14",0.119,1
"MMP8","MMP8",0.119,1
"PARP2","PARP2",0.12,1
"ROCK2","ROCK2",0.12,1
"MAP4K5","MAP4K5",0.122,1
"PTK2","PTK2",0.123,1
"FGFR2","FGFR2",0.124,1
"LTA4H","LTA4H",0.125,1
"SRC","SRC",0.125,1
"SCN9A","SCN9A",0.128,1
"TGFBR1","TGFBR1",0.129,1
"CLK4","CLK4",0.135,1
"CHRNA3","CHRNA3",0.137,1
"CHRNA4","CHRNA4",0.137,1
"CHRNA7","CHRNA7",0.137,1
"CHRNB2","CHRNB2",0.137,1
"SLCO1B3","SLCO1B3",0.141,1
"MARK2","MARK2",0.146,1
"FGFR3","FGFR3",0.147,1
"MMP1","MMP1",0.151,1
"RET","RET",0.153,1
"BTK","BTK",0.161,1
"MAP3K10","MAP3K10",0.165,1
"ZAK","ZAK",0.165,1
"FLT1","FLT1",0.168,1
"PDPK1","PDPK1",0.168,1
"MST1R","MST1R",0.169,1
"RXRA","RXRA",0.17,1
"CNR2","CNR2",0.173,1
"TRPV1","TRPV1",0.173,1
"TNKS2","TNKS2",0.175,1
"ESRRA","ESRRA",0.176,1
"ALK","ALK",0.179,1
"GRM1","GRM1",0.189,1
"ESR2","ESR2",0.194,1
"AURKA","AURKA",0.199,1
"NR0B1","NR0B1",0.2,1
"NTRK1","NTRK1",0.2,1
"CSNK1D","CSNK1D",0.206,1
"SMO","SMO",0.216,1
"BRSK1","BRSK1",0.218,1
"RPS6KB1","RPS6KB1",0.218,1
"PDE5A","PDE5A",0.22,1
"LIMK1","LIMK1",0.222,1
"KDR","KDR",0.223,1
"NEK2","NEK2",0.223,1
"ADRB2","ADRB2",0.227,1
"MAP4K2","MAP4K2",0.23,1
"F3","F3",0.232,1
"DPP4","DPP4",0.241,1
"ADORA3","ADORA3",0.244,1
"ABCG2","ABCG2",0.245,1
"LCK","LCK",0.25,1
"HCK","HCK",0.251,1
"IGF1R","IGF1R",0.251,1
"MINK1","MINK1",0.252,1
"MAPK3","MAPK3",0.255,1
"TNKS","TNKS",0.255,1
"PARP1","PARP1",0.256,1
"CLK2","CLK2",0.263,1
"PTGS1","PTGS1",0.263,1
"RPS6KA3","RPS6KA3",0.263,1
"DAPK3","DAPK3",0.265,1
"SLC22A3","SLC22A3",0.277,1
"SLK","SLK",0.28,1
"PRKCZ","PRKCZ",0.283,1
"DYRK1B","DYRK1B",0.293,1
"PRKD2","PRKD2",0.294,1
"BCR","BCR",0.299,1
"LYN","LYN",0.301,1
"EPHB2","EPHB2",0.309,1
