"","GeneID"
"6",2115
"10",1870
"24",2896
"41",10954
"42",10797
"56",10644
"73",4313
"75",6790
"81",332
"107",4605
"111",57761
"131",4125
"151",2146
"152",4232
"162",1277
"174",8914
"207",991
"211",9928
"243",6659
"245",652
"275",7153
"280",5111
"287",2048
"292",891
"302",1019
"307",28969
"314",4609
"324",51203
"336",1062
"354",7157
"360",11004
"382",890
"395",1029
"403",1111
"432",701
"435",9133
"472",993
"505",5347
"518",64943
"543",983
"549",55038
"574",11065
"604",54512
"664",1282
"668",1978
"32",3909
"285",8900
"519",3800
"649",4303
