"","target","p","padj"
"CHEMBL2560","CHEMBL2560",0.037,1
"CHEMBL2637","CHEMBL2637",0.037,1
"CHEMBL1898","CHEMBL1898",0.038,1
"CHEMBL4312","CHEMBL4312",0.038,1
"CHEMBL4578","CHEMBL4578",0.038,1
"CHEMBL5491","CHEMBL5491",0.038,1
"CHEMBL5914","CHEMBL5914",0.038,1
"CHEMBL2200","CHEMBL2200",0.039,1
"CHEMBL4954","CHEMBL4954",0.039,1
"CHEMBL5331","CHEMBL5331",0.039,1
"CHEMBL5469","CHEMBL5469",0.039,1
"CHEMBL2413","CHEMBL2413",0.04,1
"CHEMBL2964","CHEMBL2964",0.04,1
"CHEMBL3032","CHEMBL3032",0.04,1
"CHEMBL5122","CHEMBL5122",0.04,1
"CHEMBL2780","CHEMBL2780",0.041,1
"CHEMBL4897","CHEMBL4897",0.041,1
"CHEMBL2095943","CHEMBL2095943",0.042,1
"CHEMBL2915","CHEMBL2915",0.042,1
"CHEMBL5378","CHEMBL5378",0.042,1
"CHEMBL1075195","CHEMBL1075195",0.043,1
"CHEMBL1795167","CHEMBL1795167",0.043,1
"CHEMBL2577","CHEMBL2577",0.043,1
"CHEMBL3181","CHEMBL3181",0.044,1
"CHEMBL4311","CHEMBL4311",0.045,1
"CHEMBL2564","CHEMBL2564",0.046,1
"CHEMBL1075132","CHEMBL1075132",0.047,1
"CHEMBL1075323","CHEMBL1075323",0.047,1
"CHEMBL3905","CHEMBL3905",0.047,1
"CHEMBL4204","CHEMBL4204",0.047,1
"CHEMBL5483","CHEMBL5483",0.047,1
"CHEMBL5604","CHEMBL5604",0.047,1
"CHEMBL325","CHEMBL325",0.048,1
"CHEMBL4599","CHEMBL4599",0.048,1
"CHEMBL5476","CHEMBL5476",0.048,1
"CHEMBL2409","CHEMBL2409",0.049,1
"CHEMBL1868","CHEMBL1868",0.05,1
"CHEMBL2919","CHEMBL2919",0.05,1
"CHEMBL3365","CHEMBL3365",0.051,1
"CHEMBL3983","CHEMBL3983",0.051,1
"CHEMBL4597","CHEMBL4597",0.051,1
"CHEMBL5941","CHEMBL5941",0.051,1
"CHEMBL1853","CHEMBL1853",0.052,1
"CHEMBL261","CHEMBL261",0.053,1
"CHEMBL3886","CHEMBL3886",0.054,1
"CHEMBL4602","CHEMBL4602",0.054,1
"CHEMBL4908","CHEMBL4908",0.054,1
"CHEMBL2068","CHEMBL2068",0.055,1
"CHEMBL258","CHEMBL258",0.055,1
"CHEMBL2730","CHEMBL2730",0.055,1
"CHEMBL3290","CHEMBL3290",0.055,1
"CHEMBL2724","CHEMBL2724",0.056,1
"CHEMBL3980","CHEMBL3980",0.056,1
"CHEMBL4001","CHEMBL4001",0.056,1
"CHEMBL4718","CHEMBL4718",0.056,1
"CHEMBL3014","CHEMBL3014",0.057,1
"CHEMBL5261","CHEMBL5261",0.057,1
"CHEMBL2072","CHEMBL2072",0.058,1
"CHEMBL2716","CHEMBL2716",0.058,1
"CHEMBL3524","CHEMBL3524",0.058,1
"CHEMBL2808","CHEMBL2808",0.059,1
"CHEMBL2959","CHEMBL2959",0.059,1
"CHEMBL4970","CHEMBL4970",0.059,1
"CHEMBL2039","CHEMBL2039",0.06,1
"CHEMBL2111288","CHEMBL2111288",0.06,1
"CHEMBL3229","CHEMBL3229",0.06,1
"CHEMBL4648","CHEMBL4648",0.06,1
"CHEMBL1865","CHEMBL1865",0.061,1
"CHEMBL2010631","CHEMBL2010631",0.061,1
"CHEMBL3038488","CHEMBL3038488",0.061,1
"CHEMBL3311","CHEMBL3311",0.061,1
"CHEMBL3021","CHEMBL3021",0.062,1
"CHEMBL1293194","CHEMBL1293194",0.064,1
"CHEMBL203","CHEMBL203",0.064,1
"CHEMBL2093866","CHEMBL2093866",0.064,1
"CHEMBL3629","CHEMBL3629",0.064,1
"CHEMBL3858","CHEMBL3858",0.064,1
"CHEMBL2534","CHEMBL2534",0.065,1
"CHEMBL1856","CHEMBL1856",0.066,1
"CHEMBL2095166","CHEMBL2095166",0.066,1
"CHEMBL2111289","CHEMBL2111289",0.066,1
"CHEMBL2111472","CHEMBL2111472",0.068,1
"CHEMBL4073","CHEMBL4073",0.069,1
"CHEMBL2939","CHEMBL2939",0.07,1
"CHEMBL4895","CHEMBL4895",0.07,1
"CHEMBL5552","CHEMBL5552",0.07,1
"CHEMBL5970","CHEMBL5970",0.07,1
"CHEMBL3085","CHEMBL3085",0.071,1
"CHEMBL4367","CHEMBL4367",0.071,1
"CHEMBL4525","CHEMBL4525",0.071,1
"CHEMBL4937","CHEMBL4937",0.071,1
"CHEMBL2095185","CHEMBL2095185",0.073,1
"CHEMBL2738","CHEMBL2738",0.073,1
"CHEMBL4729","CHEMBL4729",0.073,1
"CHEMBL2095216","CHEMBL2095216",0.074,1
"CHEMBL2349","CHEMBL2349",0.074,1
"CHEMBL2927","CHEMBL2927",0.074,1
"CHEMBL3369","CHEMBL3369",0.074,1
"CHEMBL3766","CHEMBL3766",0.074,1
"CHEMBL3869","CHEMBL3869",0.074,1
"CHEMBL3898","CHEMBL3898",0.074,1
"CHEMBL4462","CHEMBL4462",0.075,1
"CHEMBL5749","CHEMBL5749",0.075,1
"CHEMBL5314","CHEMBL5314",0.076,1
"CHEMBL1938210","CHEMBL1938210",0.077,1
"CHEMBL2213","CHEMBL2213",0.077,1
