"","GeneID"
"4",2115
"18",2896
"35",10954
"36",10797
"47",10644
"61",4313
"63",6790
"68",332
"95",57761
"116",4125
"134",5054
"135",2146
"136",4232
"146",1277
"158",8914
"195",991
"224",1017
"229",6659
"231",652
"259",7153
"264",5111
"270",2048
"274",891
"285",1019
"288",28969
"293",4609
"303",51203
"311",1062
"327",7157
"335",11004
"355",890
"367",1029
"373",1111
"429",993
"458",5347
"471",64943
"494",983
"498",55038
"547",54512
"573",25987
"581",11200
"601",1282
"605",1978
"623",85236
"25",3909
"472",3800
"588",4303
