"","TCGA-DH-A669-02","TCGA-DU-5870-02","TCGA-DU-5872-02","TCGA-DU-6397-02","TCGA-DU-6404-02","TCGA-DU-6407-02","TCGA-DU-7304-02","TCGA-FG-5963-02","TCGA-FG-5965-02","TCGA-FG-A4MT-02","TCGA-TM-A7CF-02","TCGA-TQ-A7RK-02","TCGA-TQ-A7RV-02","TCGA-TQ-A8XE-02","GTEX-11ZU8-0011-R4a-SM-5BC6Y","GTEX-12WSA-0011-R4a-SM-57WB7","GTEX-12WSF-0011-R4b-SM-5HL88","GTEX-12ZZW-0011-R4a-SM-5DUX9","GTEX-12ZZZ-0011-R4b-SM-5DUV7","GTEX-13112-0011-R4b-SM-5DUXL","GTEX-131XH-0011-R4b-SM-5DUWB","GTEX-1399T-0011-R4b-SM-5DUVX","GTEX-139T8-0011-R4a-SM-5HL54","GTEX-139UC-0011-R4a-SM-5K7XM","GTEX-13CZV-0011-R4b-SM-5J2NY","GTEX-13FLV-0011-R4a-SM-5LZYU","GTEX-13JVG-0011-R4a-SM-5MR4C","GTEX-13N1W-0011-R4a-SM-5MR52","GTEX-13N2G-0011-R4b-SM-5MR54","GTEX-13NYS-0011-R4b-SM-5MR3O","GTEX-13O3Q-0011-R4a-SM-5P9H2","GTEX-13OVH-0011-R4a-SM-5KM3W","GTEX-13OVL-0011-R4b-SM-5L3HV","GTEX-13OW5-0011-R4b-SM-5L3HS","GTEX-13OW6-0011-R4a-SM-5O9DX","GTEX-13OW7-0011-R4b-SM-5O9CX","GTEX-13RTJ-0011-R4b-SM-5PNX1","GTEX-13SLW-0011-R4b-SM-5S2W2","GTEX-13VXU-0011-R4b-SM-5O9CI","GTEX-13X6J-0011-R4b-SM-5P9K4","GTEX-1445S-0011-R4a-SM-5PNWN","GTEX-144GL-0011-R4a-SM-5PNUI","GTEX-147GR-0011-R4a-SM-5S2V2","GTEX-14ABY-0011-R4b-SM-5S2VN","GTEX-N7MS-0011-R4a-SM-2HMKW","GTEX-NPJ8-0011-R4a-SM-2HML3","GTEX-P44G-0011-R4A-SM-2I3FB","GTEX-P44H-0011-R4A-SM-2XCEW","GTEX-QMR6-0011-R4A-SM-32PKU","GTEX-RVPU-0011-R4A-SM-2TF6X","GTEX-RVPU-0011-R4A-SM-5SI8K","GTEX-S7SE-0011-R4A-SM-2XCDB","GTEX-T6MN-0011-R4A-SM-32QPG","GTEX-T6MN-0011-R4A-SM-5CHSD","GTEX-WHSE-0011-R4A-SM-3P5ZN","GTEX-WVLH-0011-R4A-SM-3MJFS","GTEX-WZTO-0011-R4A-SM-3NMC7","GTEX-X4XX-0011-R4B-SM-46MWL","GTEX-X585-0011-R4B-SM-46MVH","GTEX-XLM4-0011-R4B-SM-4AT5C","GTEX-ZE9C-0011-R4a-SM-4WKH6"
"ENSG00000013810",5.46373352365305,4.20163545744005,3.81761858218385,4.60938633447189,6.1274640043027,6.70587259124453,6.04893444236407,6.48587074583163,3.542242522809,3.03035862044331,2.76979989041578,4.62003372525239,1.80320917723781,3.88071834483949,0.887510993793534,1.49057880116246,1.83590275001558,0.807361439533192,1.28689866693004,1.36177864085372,2.08067236663099,1.43297002846825,1.29275360629187,1.46467151517696,1.22650323616547,1.82375196204106,0.848008410864909,2.69156361987338,2.04612395963622,1.41683239866187,1.72249322968059,1.34484860176739,1.28094237366227,1.26305953305983,1.62761153312023,1.15702672914895,1.83993785709598,1.51095873997018,1.59932433604982,1.72681916647702,1.15702672914895,1.07038174207073,0.823748155783488,1.6959643144576,1.89140083599445,2.06694368782009,1.50078148438499,1.46467151517696,1.48028737335195,0.848008410864909,0.696007163345216,2.00357016847514,1.65992519289022,0.887510993793534,1.52606891038018,1.91838347942934,1.85996139538859,1.92980320550545,2.35614826636533,1.46990885738364,1.05660092680878
"ENSG00000041982",3.40057276947988,3.96254260511981,6.05031332813208,2.84196942271067,1.42762084508111,7.25248312846104,0.545956163526288,8.18256922860477,2.72468599817093,4.30891223633137,5.99389420413238,5.61530490570596,6.20358945559086,6.30484639020678,0.201631175400006,0.443614417751655,0.956072839616785,0.163501006167216,1.23880585206369,1.39508960137226,2.01793533248056,1.56560410857404,0.604086653010442,0.704867353785679,0.356134582211424,0.696007163345216,0.41142546871203,1.87579463644099,2.68260791167126,2.50076951435152,0.505893260531457,0.575314001522003,0.389570020185858,2.83190529454906,0.333419236285409,0.918387489927324,2.87577109855454,0.963465713162307,1.04965224991512,1.72249322968059,0.74845040866995,0.75704057655925,1.2203239161193,2.91455479490485,1.41145617307414,0.226513173127315,0.333419236285409,0.687043882145469,1.26305953305983,1.3334115699462,0.176318284277183,0.879715956322992,1.09085399896311,-1.57152524224268e-08,4.9977303501691,0.23879274945159,0.575314001522003,0.34483601749216,1.49057880116246,1.76127530731451,0.310339138816876
"ENSG00000064270",1.45416559780401,0.687043882145469,0.443614417751655,0.992789863159715,0.356134582211424,1.16349700625866,0.454178305514821,0.163501006167216,1.25095384482465,0.678058046144846,1.16349700625866,0.263039865293563,0.263039865293563,0.790753737122801,1.42222062869628,1.83590275001558,1.41683239866187,1.69154071730928,1.8278456852217,2.35614826636533,2.28391675858572,1.83590275001558,2.63689262307293,1.96351109661247,2.03559855273602,3.16674253065192,1.71810328073022,2.39782411592669,2.72468599817093,1.57529313218458,1.6959643144576,2.56563747790443,2.08403443800962,2.7866310338961,2.03915474759908,2.55334558068305,2.44361924686195,2.06694368782009,2.56804852523721,2.36734664128726,2.04612395963622,1.63689653937898,1.54599631650442,1.99996750008998,2.03559855273602,2.22030027914631,2.58494866042901,1.43297002846825,1.32768516058368,1.16349700625866,0.848008410864909,2.84601548482549,2.44623213672057,-1.57152524224268e-08,1.97453455694299,2.83999010372125,1.75704605585286,2.58494866042901,1.45944493660552,1.74846260915353,2.27200651213102
"ENSG00000064300",2.87775827394702,3.558250156143,3.51219335940077,3.73224109064542,7.8826200614057,4.44560646145842,1.11767287700506,7.51311149142009,1.39508960137226,2.62758119843743,2.68260791167126,1.99996750008998,2.25395199079054,3.33346771909399,0.124327270460246,0.696007163345216,0.545956163526288,0.263039865293563,0.46467850914319,0.443614417751655,1.15702672914895,0.176318284277183,0.948623484540484,0.432948244131986,0.659920855917282,1.19535379927889,1.09761144090414,3.74093661046354,1.37293131323776,1.89915416758561,0.516027271053183,0.903017485552586,0.389570020185858,1.02145721180734,0.443614417751655,0.378503428699139,1.49567519477961,0.61353728704226,0.356134582211424,0.773987400246651,1.19535379927889,0.722454405769669,0.495692160577013,0.650778142954816,1.81149819478023,1.65077492612669,0.823748155783488,0.903017485552586,1.20162200397468,1.41683239866187,1.14404699153806,0.73117441095344,0.669015601438227,-1.57152524224268e-08,2.13421260952259,0.659920855917282,0.594550175183404,2.34199921970231,2.31036830987079,1.37852805951426,0.765540375264906
"ENSG00000087116",1.48542799702022,2.31036830987079,2.10095768201214,1.08407152056007,5.7779094024102,1.64614182849354,0.678058046144846,3.87773559088402,2.82984227046043,0.985488023405897,1.32768516058368,0.61353728704226,1.09761144090414,1.74846260915353,0.042643975470667,0.2986649344837,0.516027271053183,0.201631175400006,0.250954424227243,0.978174336475226,1.11104852741775,0.815589110153214,0.722454405769669,0.137501026492167,0.250954424227243,0.739854261639821,0.432948244131986,0.659920855917282,0.622930175564276,0.687043882145469,0.782420652403773,0.111033883550311,0.163501006167216,0.536053105960535,0.34483601749216,0.321936273706465,1.05660092680878,0.263039865293563,0.704867353785679,0.565594316150026,0.275004448541106,0.163501006167216,0.516027271053183,0.863959143812243,1.37293131323776,0.74845040866995,0.526083952573338,0.933561687638271,0.111033883550311,0.111033883550311,0.2986649344837,0.61353728704226,0.505893260531457,-1.57152524224268e-08,1.11104852741775,0.999978992078611,0.790753737122801,1.55581607712351,1.70489901882787,0.713697275872429,0.58496834289468
"ENSG00000087245",4.66275239618373,4.02768806225288,6.66031981956065,6.2172032766142,8.06728338911903,5.7114708521333,4.2241533046599,7.89437031347348,2.6064012113366,4.49822582837826,2.56314415148923,4.284708348308,3.99363791276774,5.41918187392418,0.58496834289468,1.1374837886789,1.76974936089984,1.07726468373127,1.38407666062613,1.63228437154736,1.22650323616547,1.64614182849354,1.40055332093844,1.6825739688069,0.918387489927324,1.55581607712351,1.87579463644099,1.18905041247074,1.92980320550545,0.956072839616785,1.13094532873489,1.55086892242504,1.12432327842558,1.60879075561249,0.895309498828335,1.20791119122422,1.68705420958949,1.99996750008998,1.65534669028002,1.53103719327095,1.38957665480758,1.11104852741775,1.55581607712351,1.61822006822015,1.65534669028002,1.21410745786343,1.73548787434457,2.24186987376547,1.41145617307414,0.807361439533192,0.782420652403773,1.43826774873081,1.54100091114551,-1.57152524224268e-08,2.08067236663099,1.37852805951426,1.61822006822015,1.34484860176739,2.2295786853455,1.41683239866187,0.73117441095344
"ENSG00000087303",3.69039621107896,3.01080391559576,3.11433807839975,4.22500521154251,7.9341050681084,3.51219335940077,0.042643975470667,5.17310996304824,1.87579463644099,1.6415156956281,1.5058976541285,1.81149819478023,1.48542799702022,2.8032384178182,0.15055651843769,0.790753737122801,1.06352846791354,0.622930175564276,0.948623484540484,1.57044449766898,1.21410745786343,0.985488023405897,0.687043882145469,1.07038174207073,0.669015601438227,1.14404699153806,0.807361439533192,1.29868434163373,1.42762084508111,0.704867353785679,1.19535379927889,1.10434317316511,0.722454405769669,0.815589110153214,1.05660092680878,1.12432327842558,1.25095384482465,1.51602942637938,1.31035705625653,1.25699756969054,1.02858442607266,1.36177864085372,0.310339138816876,1.45416559780401,1.57529313218458,1.11104852741775,1.14404699153806,1.19535379927889,2.13096945334008,0.555816486699967,0.495692160577013,0.61353728704226,1.07726468373127,-1.57152524224268e-08,1.95979348481802,1.33915294741526,1.42762084508111,1.41145617307414,1.15057991651262,1.44357685217348,0.848008410864909
"ENSG00000088325",4.73496333177651,3.18907176851133,1.59456907969164,4.41070490263012,5.79725311577962,6.57183043585427,3.68144915866581,6.19037192697936,2.9981965225103,2.97267992501485,1.83993785709598,4.1144070265885,0.970849567099916,3.28984771168403,0.111033883550311,0.176318284277183,0.422221894295255,0.286877837383047,0.137501026492167,0.356134582211424,0.485434233746944,0.214120281650427,0.505893260531457,0.250954424227243,0.137501026492167,0.34483601749216,0.176318284277183,0.454178305514821,0.722454405769669,0.46467850914319,0.526083952573338,0.111033883550311,0.137501026492167,0.214120281650427,0.124327270460246,0.201631175400006,0.36737308274667,0.201631175400006,0.604086653010442,0.432948244131986,0.275004448541106,0.263039865293563,0.250954424227243,0.58496834289468,0.659920855917282,0.75704057655925,0.454178305514821,0.516027271053183,0.250954424227243,0.176318284277183,0.097613262755309,0.75704057655925,0.555816486699967,-1.57152524224268e-08,0.815589110153214,0.739854261639821,1.28094237366227,0.275004448541106,0.704867353785679,0.790753737122801,0.214120281650427
"ENSG00000088882",6.43080358659212,6.95059932690016,3.83797783396548,5.75405551370552,6.20043287902441,6.37714420986747,6.26022647271186,7.53648400958178,2.82168087061018,4.78658809606462,0.687043882145469,4.65535686409857,2.84394918140855,6.22973348354774,0.226513173127315,0.310339138816876,1.1374837886789,0.042643975470667,0.516027271053183,0.443614417751655,1.04965224991512,0.641555855297047,0.485434233746944,0.485434233746944,0.189037897631743,0.992789863159715,0.333419236285409,0.622930175564276,0.526083952573338,0.333419236285409,0.263039865293563,0.58496834289468,0.536053105960535,0.34483601749216,0.356134582211424,0.58496834289468,0.485434233746944,0.226513173127315,0.505893260531457,0.41142546871203,0.286877837383047,0.275004448541106,0.321936273706465,0.887510993793534,0.622930175564276,0.176318284277183,0.505893260531457,0.41142546871203,0.137501026492167,0.084066966502593,0.201631175400006,0.555816486699967,0.536053105960535,-1.57152524224268e-08,0.565594316150026,0.378503428699139,0.356134582211424,0.485434233746944,0.848008410864909,0.310339138816876,0.137501026492167
"ENSG00000089685",5.46207202862716,3.28832145228404,1.31035705625653,4.15949266818947,5.68087203981946,6.12450691656834,4.93258292772628,6.09907961526993,2.9981965225103,2.7290163860787,1.91073935298203,4.71696924695326,0.632259604337141,3.00003412413122,0.124327270460246,0.214120281650427,0.201631175400006,0.0285684699491018,0.084066966502593,0.275004448541106,0.41142546871203,0.263039865293563,0.176318284277183,0.176318284277183,0.15055651843769,0.137501026492167,0.0703873337062246,0.263039865293563,0.632259604337141,0.2986649344837,0.163501006167216,0.565594316150026,0.201631175400006,0.495692160577013,0.163501006167216,0.111033883550311,0.097613262755309,0.15055651843769,0.0703873337062246,0.15055651843769,0.310339138816876,0.084066966502593,0.15055651843769,0.250954424227243,0.807361439533192,0.61353728704226,0.097613262755309,0.201631175400006,0.163501006167216,0.226513173127315,0.124327270460246,0.2986649344837,0.321936273706465,8.85571439031948,0.163501006167216,0.286877837383047,0.226513173127315,0.831879674807896,0.659920855917282,0.422221894295255,0.189037897631743
