"","target","p","padj"
"NCOR2","NCOR2",0.009,1
"MYLK","MYLK",0.01,1
"CCND1","CCND1",0.02,1
"CDK2","CDK2",0.027,1
"CCNA2","CCNA2",0.033,1
"PARP1","PARP1",0.035,1
"PIK3CB","PIK3CB",0.048,1
"CCND2","CCND2",0.05,1
"CCND3","CCND3",0.05,1
"SCN1A","SCN1A",0.056,1
"SCN2A","SCN2A",0.056,1
"SCN3A","SCN3A",0.056,1
"TNKS2","TNKS2",0.056,1
"CCNE1","CCNE1",0.061,1
"CCNH","CCNH",0.061,1
"SLC22A3","SLC22A3",0.073,1
"CDK9","CDK9",0.075,1
"NR0B1","NR0B1",0.081,1
"AOX1","AOX1",0.082,1
"HDAC1","HDAC1",0.086,1
"HDAC10","HDAC10",0.086,1
"HDAC11","HDAC11",0.086,1
"HDAC2","HDAC2",0.086,1
"HDAC3","HDAC3",0.086,1
"HDAC4","HDAC4",0.086,1
"HDAC5","HDAC5",0.086,1
"HDAC6","HDAC6",0.086,1
"HDAC7","HDAC7",0.086,1
"HDAC8","HDAC8",0.086,1
"HDAC9","HDAC9",0.086,1
"ROS1","ROS1",0.092,1
"CDK4","CDK4",0.094,1
"AURKC","AURKC",0.095,1
"ESRRB","ESRRB",0.096,1
"GPER","GPER",0.096,1
"SHBG","SHBG",0.096,1
"MAPKAPK2","MAPKAPK2",0.104,1
"CSK","CSK",0.108,1
"ESRRA","ESRRA",0.108,1
"DYRK1A","DYRK1A",0.112,1
"TNKS","TNKS",0.113,1
"TOP1","TOP1",0.114,1
"CHRNA3","CHRNA3",0.117,1
"CHRNA4","CHRNA4",0.117,1
"CHRNA7","CHRNA7",0.117,1
"CHRNB2","CHRNB2",0.117,1
"KDM4DL","KDM4DL",0.118,1
"CCNA1","CCNA1",0.12,1
"CDK6","CDK6",0.123,1
"PRKCZ","PRKCZ",0.129,1
"CCNT1","CCNT1",0.133,1
"PARP2","PARP2",0.139,1
"MAPK8","MAPK8",0.14,1
"CDK7","CDK7",0.149,1
"NEK2","NEK2",0.161,1
"LIMK1","LIMK1",0.17,1
"LRRK2","LRRK2",0.173,1
"PAK4","PAK4",0.173,1
"PRKAA1","PRKAA1",0.173,1
"EBPL","EBPL",0.181,1
"ITK","ITK",0.182,1
"CCNB1","CCNB1",0.183,1
"MAP2K1","MAP2K1",0.186,1
"TAOK1","TAOK1",0.187,1
"CDK5R1","CDK5R1",0.191,1
"HIF1A","HIF1A",0.191,1
"MARK4","MARK4",0.191,1
"HTR1D","HTR1D",0.195,1
"ROCK2","ROCK2",0.196,1
"ABCC4","ABCC4",0.208,1
"PDE10A","PDE10A",0.208,1
"PDE11A","PDE11A",0.208,1
"PDE4A","PDE4A",0.208,1
"PDE4B","PDE4B",0.208,1
"PDE4C","PDE4C",0.208,1
"PDE4D","PDE4D",0.208,1
"PDE6A","PDE6A",0.208,1
"PDE6B","PDE6B",0.208,1
"PDE6C","PDE6C",0.208,1
"PDE6D","PDE6D",0.208,1
